Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,5.15,5.25,5.15,5.24,1063800,5.24
2016-11-21,5.15,5.20,5.13,5.16,619500,5.16
2016-11-18,5.18,5.19,5.08,5.16,1583600,5.16
2016-11-17,5.16,5.205,5.145,5.18,1152100,5.18
2016-11-16,5.28,5.285,5.20,5.22,1078500,5.22
2016-11-15,5.21,5.26,5.15,5.24,1884700,5.24
2016-11-14,5.29,5.31,5.25,5.30,1076700,5.30
2016-11-11,5.32,5.32,5.22,5.29,2309700,5.29
2016-11-10,5.20,5.285,5.20,5.28,1566700,5.28
2016-11-09,5.18,5.24,5.07,5.11,2170000,5.11
2016-11-08,5.21,5.23,5.165,5.19,1056700,5.19
2016-11-07,5.15,5.22,5.12,5.18,1436600,5.18
2016-11-04,5.16,5.18,5.06,5.11,1804500,5.11
2016-11-03,5.23,5.35,5.20,5.20,1248700,5.20
2016-11-02,5.28,5.33,5.24,5.27,1188200,5.27
2016-11-01,5.30,5.35,5.25,5.32,899300,5.32
2016-10-31,5.28,5.36,5.24,5.35,1225800,5.35
2016-10-28,5.30,5.35,5.235,5.28,1069700,5.28
2016-10-27,5.34,5.37,5.29,5.32,2049600,5.32
2016-10-26,5.43,5.44,5.345,5.37,1239800,5.37
2016-10-25,5.50,5.56,5.48,5.49,800600,5.49
2016-10-24,5.45,5.515,5.36,5.50,1830200,5.50
2016-10-21,5.48,5.53,5.44,5.46,1092600,5.46
2016-10-20,5.48,5.51,5.42,5.50,1470700,5.50
2016-10-19,5.39,5.49,5.34,5.49,2258500,5.49
2016-10-18,5.31,5.365,5.27,5.35,1306500,5.35
2016-10-17,5.40,5.43,5.33,5.34,1217600,5.34
2016-10-14,5.44,5.49,5.41,5.44,1083600,5.44
2016-10-13,5.38,5.47,5.38,5.45,1173100,5.45
2016-10-12,5.36,5.40,5.27,5.39,2342800,5.39
2016-10-11,5.45,5.485,5.38,5.39,1731500,5.39
2016-10-10,5.49,5.52,5.44,5.47,758900,5.47
2016-10-07,5.52,5.535,5.47,5.48,920600,5.48
2016-10-06,5.62,5.63,5.45,5.52,3163300,5.52
2016-10-05,5.60,5.61,5.525,5.58,1234300,5.58
2016-10-04,5.60,5.63,5.49,5.63,1485700,5.63
2016-10-03,5.58,5.68,5.55,5.59,1015600,5.59
2016-09-30,5.52,5.57,5.46,5.54,1220600,5.54
2016-09-29,5.55,5.55,5.48,5.53,1032900,5.53
2016-09-28,5.42,5.55,5.42,5.49,2945000,5.49
2016-09-27,5.34,5.435,5.32,5.40,1502700,5.40
2016-09-26,5.29,5.38,5.24,5.37,1285400,5.37
2016-09-23,5.21,5.31,5.19,5.29,1097600,5.29
2016-09-22,5.30,5.30,5.245,5.27,1129200,5.27
2016-09-21,5.29,5.39,5.24,5.26,2661100,5.26
2016-09-20,5.15,5.28,5.14,5.23,2814000,5.23
2016-09-19,5.17,5.185,5.12,5.16,379200,5.16
2016-09-16,5.22,5.26,5.16,5.20,1970600,5.20
2016-09-15,5.15,5.19,5.12,5.18,2196900,5.18
2016-09-14,5.15,5.18,5.12,5.16,2940000,5.16
2016-09-13,5.35,5.38,5.29,5.33,2277400,5.20857
2016-09-12,5.23,5.32,5.21,5.32,2707700,5.1988
2016-09-09,5.24,5.32,5.21,5.31,7167700,5.18903
2016-09-08,5.24,5.29,5.16,5.29,3625100,5.16948
2016-09-07,5.30,5.34,5.26,5.29,1856800,5.16948
2016-09-06,5.32,5.34,5.28,5.32,1903400,5.1988
2016-09-05,5.30,5.35,5.29,5.33,3926700,5.20857
2016-09-02,5.33,5.36,5.26,5.28,2616800,5.15971
2016-09-01,5.30,5.46,5.29,5.35,4459200,5.22812
2016-08-31,5.20,5.32,5.06,5.25,3723500,5.13039
2016-08-30,5.60,5.63,5.47,5.48,1108700,5.35515
2016-08-29,5.56,5.60,5.53,5.57,968400,5.4431
2016-08-26,5.64,5.64,5.52,5.56,1791700,5.43333
2016-08-25,5.69,5.69,5.64,5.65,1151000,5.52128
2016-08-24,5.84,5.85,5.68,5.69,1262100,5.56037
2016-08-23,5.85,5.88,5.815,5.82,911300,5.68741
2016-08-22,5.80,5.84,5.76,5.83,1030700,5.69718
2016-08-19,5.83,5.86,5.765,5.79,793100,5.65809
2016-08-18,5.85,5.85,5.77,5.78,1115800,5.64832
2016-08-17,5.80,5.825,5.77,5.79,807500,5.65809
2016-08-16,5.81,5.86,5.79,5.80,1098900,5.66786
2016-08-15,5.73,5.82,5.73,5.81,1070600,5.67764
2016-08-12,5.70,5.74,5.66,5.73,1706400,5.59946
2016-08-11,5.62,5.66,5.61,5.65,1191600,5.52128
2016-08-10,5.68,5.69,5.63,5.64,1892200,5.51151
2016-08-09,5.86,5.86,5.67,5.68,1953600,5.5506
2016-08-08,5.77,5.86,5.77,5.82,1635300,5.68741
2016-08-05,5.75,5.83,5.735,5.76,1392800,5.62878
2016-08-04,5.78,5.825,5.715,5.72,1797100,5.58969
2016-08-03,5.88,5.88,5.76,5.76,1758200,5.62878
2016-08-02,5.97,5.995,5.92,5.92,1216200,5.78513
2016-08-01,5.96,5.99,5.925,5.94,1149400,5.80467
2016-07-29,5.87,5.92,5.85,5.91,1513800,5.77536
2016-07-28,5.87,5.90,5.84,5.87,1684200,5.73627
2016-07-27,5.98,5.99,5.86,5.87,1393500,5.73627
2016-07-26,5.75,5.93,5.75,5.93,1808300,5.7949
2016-07-25,5.64,5.78,5.64,5.77,2877100,5.63855
2016-07-22,5.70,5.74,5.635,5.64,1531200,5.51151
2016-07-21,5.90,5.90,5.69,5.74,1622900,5.60923
2016-07-20,5.85,5.905,5.83,5.86,1089300,5.7265
2016-07-19,5.88,5.88,5.81,5.82,898500,5.68741
2016-07-18,5.81,5.89,5.80,5.88,875300,5.74604
2016-07-15,5.80,5.84,5.77,5.81,1222400,5.67764
2016-07-14,5.77,5.84,5.76,5.79,1087900,5.65809
2016-07-13,5.79,5.815,5.75,5.80,966200,5.66786
2016-07-12,5.84,5.86,5.76,5.78,1979500,5.64832
2016-07-11,5.74,5.82,5.74,5.78,1018500,5.64832
2016-07-08,5.67,5.72,5.655,5.71,1091800,5.57991
2016-07-07,5.69,5.73,5.63,5.69,1260100,5.56037
2016-07-06,5.50,5.67,5.50,5.67,1188100,5.54083
2016-07-05,5.58,5.59,5.50,5.53,1187500,5.40401
2016-07-04,5.61,5.63,5.54,5.58,1115600,5.45288
2016-07-01,5.58,5.66,5.57,5.60,1210500,5.47242
2016-06-30,5.49,5.57,5.46,5.57,1931200,5.4431
2016-06-29,5.28,5.42,5.24,5.41,2721000,5.28675
2016-06-28,5.21,5.24,5.095,5.19,2361100,5.07176
2016-06-27,5.22,5.32,5.21,5.30,1428800,5.17925
2016-06-24,5.42,5.45,5.24,5.31,2164100,5.18903
2016-06-23,5.44,5.45,5.38,5.44,1076700,5.31607
2016-06-22,5.48,5.48,5.41,5.44,1325800,5.31607
2016-06-21,5.37,5.47,5.35,5.46,2068200,5.33561
2016-06-20,5.30,5.40,5.30,5.40,1098700,5.27698
2016-06-17,5.35,5.365,5.29,5.29,2334700,5.16948
2016-06-16,5.35,5.38,5.31,5.33,1582400,5.20857
2016-06-15,5.30,5.39,5.30,5.32,1651000,5.1988
2016-06-14,5.38,5.42,5.31,5.38,1045800,5.25743
2016-06-13,5.43,5.43,5.43,5.43,000,5.30629
2016-06-10,5.46,5.49,5.395,5.43,850300,5.30629
2016-06-09,5.50,5.55,5.45,5.48,1209000,5.35515
2016-06-08,5.42,5.52,5.42,5.52,1222900,5.39424
2016-06-07,5.53,5.55,5.44,5.45,1295600,5.32584
2016-06-06,5.47,5.535,5.44,5.51,915800,5.38447
2016-06-03,5.47,5.49,5.39,5.49,1179200,5.36493
2016-06-02,5.51,5.54,5.42,5.44,1070700,5.31607
2016-06-01,5.61,5.62,5.50,5.51,1833600,5.38447
2016-05-31,5.65,5.71,5.57,5.68,2223600,5.5506
2016-05-30,5.65,5.67,5.60,5.63,1033200,5.50174
2016-05-27,5.66,5.69,5.59,5.62,1519900,5.49196
2016-05-26,5.64,5.64,5.51,5.62,1691900,5.49196
2016-05-25,5.49,5.65,5.41,5.65,2117400,5.52128
2016-05-24,5.44,5.44,5.36,5.42,1008400,5.29652
2016-05-23,5.39,5.44,5.355,5.38,847900,5.25743
2016-05-20,5.32,5.39,5.295,5.36,1574300,5.23789
2016-05-19,5.41,5.43,5.34,5.37,954300,5.24766
2016-05-18,5.36,5.41,5.34,5.38,1407500,5.25743
2016-05-17,5.40,5.43,5.38,5.41,1408300,5.28675
2016-05-16,5.40,5.45,5.355,5.40,1212600,5.27698
2016-05-13,5.44,5.45,5.40,5.42,1214300,5.29652
2016-05-12,5.47,5.485,5.36,5.41,1979800,5.28675
2016-05-11,5.46,5.58,5.42,5.45,1616300,5.32584
2016-05-10,5.39,5.46,5.38,5.45,1176000,5.32584
2016-05-09,5.36,5.40,5.315,5.39,1433200,5.2672
2016-05-06,5.25,5.38,5.20,5.38,1424300,5.25743
2016-05-05,5.32,5.33,5.23,5.29,1453600,5.16948
2016-05-04,5.31,5.39,5.29,5.29,1312200,5.16948
2016-05-03,5.11,5.35,5.11,5.33,1177900,5.20857
2016-05-02,5.15,5.22,5.13,5.20,1542100,5.08153
2016-04-29,5.16,5.26,5.14,5.17,1449100,5.05222
2016-04-28,5.05,5.19,5.035,5.16,2217700,5.04244
2016-04-27,5.01,5.07,4.97,4.99,1711200,4.87632
2016-04-26,5.05,5.09,5.00,5.00,1469200,4.88609
2016-04-25,5.05,5.05,5.05,5.05,000,4.93495
2016-04-22,5.16,5.16,5.05,5.05,1293200,4.93495
2016-04-21,5.16,5.17,5.10,5.17,2146300,5.05222
2016-04-20,5.10,5.14,5.05,5.10,1223100,4.98381
2016-04-19,5.12,5.19,5.085,5.11,2293100,4.99358
2016-04-18,5.03,5.13,5.03,5.08,1320700,4.96427
2016-04-15,5.09,5.15,5.06,5.10,1374600,4.98381
2016-04-14,5.14,5.145,5.06,5.09,1671400,4.97404
2016-04-13,5.15,5.19,5.13,5.15,1235100,5.03267
2016-04-12,5.07,5.14,5.02,5.12,1295200,5.00336
2016-04-11,5.17,5.17,5.09,5.10,733600,4.98381
2016-04-08,5.06,5.16,5.06,5.16,877400,5.04244
2016-04-07,5.12,5.165,5.10,5.13,854300,5.01313
2016-04-06,5.03,5.16,5.01,5.12,1424900,5.00336
2016-04-05,5.05,5.09,5.01,5.02,1225900,4.90563
2016-04-04,5.06,5.10,5.04,5.05,815500,4.93495
2016-04-01,5.04,5.06,4.975,5.03,2277500,4.91541
2016-03-31,5.14,5.16,5.05,5.07,2259800,4.95449
2016-03-30,5.10,5.11,5.05,5.08,2814400,4.96427
2016-03-29,5.12,5.17,5.04,5.07,3436500,4.95449
2016-03-28,5.10,5.10,5.10,5.10,000,4.98381
2016-03-25,5.10,5.10,5.10,5.10,000,4.98381
2016-03-24,5.12,5.13,5.05,5.10,1849200,4.98381
2016-03-23,5.02,5.15,4.98,5.13,2325300,5.01313
2016-03-22,5.00,5.04,4.97,5.01,967100,4.89586
2016-03-21,4.99,5.01,4.96,4.99,1142700,4.87632
2016-03-18,4.95,4.98,4.91,4.96,3186600,4.847
2016-03-17,4.92,5.03,4.91,4.94,4261200,4.82746
2016-03-16,4.81,4.87,4.785,4.87,1123600,4.75905
2016-03-15,4.85,4.87,4.79,4.81,1160900,4.70042
2016-03-14,4.98,4.99,4.84,4.85,889400,4.73951
2016-03-11,4.97,5.00,4.88,4.98,1778700,4.86654
2016-03-10,4.98,4.98,4.86,4.93,1746000,4.81768
2016-03-09,5.05,5.14,5.00,5.14,1276900,4.86938
2016-03-08,5.04,5.10,5.04,5.06,1556700,4.79359
2016-03-07,5.02,5.07,5.01,5.04,1704000,4.77464
2016-03-04,5.02,5.03,4.97,5.00,1283600,4.73675
2016-03-03,4.94,5.075,4.91,5.01,2532500,4.74622
2016-03-02,4.97,4.99,4.90,4.94,3052900,4.67991
2016-03-01,4.95,5.02,4.92,4.94,2151300,4.67991
2016-02-29,4.93,5.02,4.90,4.95,3218600,4.68938
2016-02-26,4.83,5.01,4.83,4.94,4622900,4.67991
2016-02-25,4.98,5.09,4.78,4.79,2897600,4.53781
2016-02-24,4.79,4.87,4.77,4.82,1425400,4.56623
2016-02-23,4.84,4.85,4.77,4.80,981300,4.54728
2016-02-22,4.74,4.85,4.71,4.84,1018200,4.58517
2016-02-19,4.77,4.81,4.72,4.74,1241000,4.49044
2016-02-18,4.81,4.82,4.755,4.79,1315700,4.53781
2016-02-17,4.75,4.81,4.74,4.75,1226800,4.49991
2016-02-16,4.70,4.78,4.68,4.76,1366400,4.50939
2016-02-15,4.57,4.71,4.57,4.68,1475800,4.4336
2016-02-12,4.60,4.615,4.52,4.53,1426600,4.2915
2016-02-11,4.55,4.65,4.55,4.64,1045500,4.3957
2016-02-10,4.63,4.64,4.485,4.55,1572700,4.31044
2016-02-09,4.57,4.62,4.56,4.57,1530600,4.32939
2016-02-08,4.65,4.65,4.595,4.65,1528900,4.40518
2016-02-05,4.77,4.77,4.66,4.67,2283500,4.42412
