Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,10.41,10.65,10.39,10.61,1499200,10.61
2016-11-21,10.19,10.40,10.18,10.36,2403400,10.36
2016-11-18,10.08,10.16,9.96,10.16,1481400,10.16
2016-11-17,9.69,10.14,9.57,9.86,1525100,9.86
2016-11-16,9.91,9.95,9.695,9.73,1068900,9.73
2016-11-15,9.92,9.94,9.80,9.87,911000,9.87
2016-11-14,10.15,10.17,9.90,9.95,798500,9.95
2016-11-11,10.18,10.31,10.01,10.11,986100,10.11
2016-11-10,10.25,10.35,10.10,10.16,934600,10.16
2016-11-09,10.10,10.22,9.73,10.02,1349900,10.02
2016-11-08,10.20,10.25,9.97,10.05,966000,10.05
2016-11-07,10.15,10.35,10.15,10.18,947500,10.18
2016-11-04,10.10,10.25,10.07,10.15,1072000,10.15
2016-11-03,10.35,10.35,10.16,10.16,1464700,10.16
2016-11-02,10.51,10.58,10.38,10.42,819000,10.42
2016-11-01,10.63,10.68,10.48,10.63,1228700,10.63
2016-10-31,10.94,10.94,10.46,10.66,2091000,10.66
2016-10-28,11.45,11.45,10.95,11.05,924900,11.05
2016-10-27,11.48,11.61,11.405,11.55,919100,11.55
2016-10-26,11.57,11.62,11.405,11.48,759500,11.48
2016-10-25,11.65,11.86,11.64,11.70,451700,11.70
2016-10-24,11.77,11.81,11.61,11.71,726400,11.71
2016-10-21,11.84,11.88,11.70,11.83,700600,11.83
2016-10-20,11.87,11.94,11.68,11.87,875400,11.87
2016-10-19,12.02,12.02,11.91,11.92,686700,11.92
2016-10-18,12.04,12.10,11.94,12.03,681100,12.03
2016-10-17,12.26,12.28,12.06,12.11,841000,12.11
2016-10-14,12.11,12.34,12.04,12.25,561400,12.25
2016-10-13,12.05,12.075,11.92,12.07,552200,12.07
2016-10-12,12.17,12.24,12.08,12.12,782700,12.12
2016-10-11,12.39,12.39,12.21,12.26,466600,12.26
2016-10-10,12.42,12.50,12.35,12.36,627800,12.36
2016-10-07,12.41,12.50,12.31,12.38,1192200,12.38
2016-10-06,12.19,12.38,12.08,12.35,1016800,12.35
2016-10-05,12.20,12.29,12.04,12.12,619700,12.12
2016-10-04,12.00,12.18,11.82,12.16,748700,12.16
2016-10-03,11.98,12.14,11.95,12.05,463300,12.05
2016-09-30,11.95,11.96,11.82,11.95,525800,11.95
2016-09-29,11.92,12.055,11.87,12.03,767500,12.03
2016-09-28,11.87,11.93,11.70,11.88,725200,11.88
2016-09-27,11.92,11.92,11.74,11.83,576600,11.83
2016-09-26,12.08,12.08,11.93,12.01,748000,12.01
2016-09-23,12.07,12.07,11.82,12.02,1546900,12.02
2016-09-22,12.03,12.12,11.96,12.00,1663900,12.00
2016-09-21,11.85,11.87,11.56,11.64,1749300,11.64
2016-09-20,11.85,12.065,11.83,12.04,1332400,11.761
2016-09-19,11.90,12.02,11.82,11.87,319300,11.595
2016-09-16,11.90,12.075,11.89,12.03,1309100,11.752
2016-09-15,11.71,11.87,11.69,11.84,948300,11.566
2016-09-14,11.80,11.85,11.68,11.78,926600,11.507
2016-09-13,11.96,12.085,11.83,11.89,1091200,11.615
2016-09-12,11.84,11.98,11.76,11.87,840700,11.595
2016-09-09,12.15,12.23,11.96,12.04,1545700,11.761
2016-09-08,12.30,12.39,12.165,12.25,1154000,11.967
2016-09-07,12.55,12.66,12.34,12.40,1063800,12.113
2016-09-06,12.63,12.73,12.47,12.54,1037100,12.25
2016-09-05,12.62,12.70,12.585,12.69,618000,12.396
2016-09-02,12.79,12.85,12.59,12.60,939300,12.308
2016-09-01,12.84,12.93,12.78,12.83,928000,12.533
2016-08-31,12.92,12.98,12.84,12.86,685400,12.562
2016-08-30,12.88,13.00,12.83,12.90,700400,12.602
2016-08-29,12.92,12.99,12.79,12.82,725600,12.523
2016-08-26,12.99,13.20,12.91,12.98,620100,12.68
2016-08-25,13.23,13.23,12.97,12.99,852900,12.689
2016-08-24,13.35,13.44,13.24,13.32,796100,13.012
2016-08-23,13.41,13.41,13.08,13.31,967100,13.002
2016-08-22,13.45,13.51,13.32,13.34,746600,13.031
2016-08-19,13.56,13.56,13.38,13.43,744700,13.119
2016-08-18,13.56,13.63,13.49,13.55,954000,13.236
2016-08-17,13.41,13.47,13.27,13.43,1540200,13.119
2016-08-16,13.36,13.47,13.15,13.43,746100,13.119
2016-08-15,13.57,13.57,13.19,13.38,1043500,13.07
2016-08-12,13.44,13.59,13.21,13.58,1018300,13.266
2016-08-11,13.03,13.50,13.03,13.41,1992600,13.10
2016-08-10,12.80,13.21,12.76,13.02,4040500,12.719
2016-08-09,12.00,12.88,11.51,12.54,3788200,12.25
2016-08-08,12.42,12.50,12.34,12.37,497000,12.084
2016-08-05,12.36,12.41,12.30,12.36,571600,12.074
2016-08-04,12.33,12.37,12.18,12.34,679900,12.054
2016-08-03,12.50,12.50,12.30,12.30,969600,12.015
2016-08-02,12.68,12.69,12.51,12.51,530300,12.221
2016-08-01,12.76,12.80,12.615,12.62,450100,12.328
2016-07-29,12.56,12.72,12.52,12.71,674700,12.416
2016-07-28,12.59,12.68,12.51,12.52,545700,12.23
2016-07-27,12.51,12.62,12.47,12.51,845300,12.221
2016-07-26,12.54,12.60,12.41,12.43,550800,12.142
2016-07-25,12.50,12.64,12.495,12.56,615100,12.269
2016-07-22,12.44,12.49,12.32,12.49,584000,12.201
2016-07-21,12.52,12.77,12.42,12.50,1112200,12.211
2016-07-20,12.22,12.56,12.21,12.50,817900,12.211
2016-07-19,12.17,12.22,12.08,12.14,542400,11.859
2016-07-18,12.15,12.25,12.11,12.18,548300,11.898
2016-07-15,12.20,12.27,12.14,12.18,841000,11.898
2016-07-14,12.22,12.34,12.15,12.17,415900,11.888
2016-07-13,12.42,12.43,12.08,12.12,1485100,11.84
2016-07-12,12.47,12.60,12.40,12.41,702100,12.123
2016-07-11,12.30,12.48,12.24,12.44,555200,12.152
2016-07-08,12.31,12.44,12.11,12.19,539800,11.908
2016-07-07,12.19,12.35,12.19,12.28,687900,11.996
2016-07-06,12.22,12.27,12.09,12.16,925700,11.879
2016-07-05,12.54,12.57,12.26,12.30,785800,12.015
2016-07-04,12.33,12.51,12.23,12.51,691900,12.221
2016-07-01,12.32,12.48,12.25,12.33,674000,12.045
