Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,9.50,9.50,9.41,9.45,2753000,9.45
2016-11-21,9.35,9.44,9.31,9.40,1600200,9.40
2016-11-18,9.34,9.41,9.315,9.38,1115300,9.38
2016-11-17,9.27,9.39,9.24,9.38,1984300,9.38
2016-11-16,9.25,9.38,9.23,9.28,1665100,9.28
2016-11-15,9.22,9.29,9.13,9.26,1711800,9.26
2016-11-14,9.39,9.45,9.275,9.33,1883700,9.33
2016-11-11,9.54,9.55,9.37,9.46,1741700,9.46
2016-11-10,9.42,9.64,9.41,9.59,1958800,9.59
2016-11-09,9.47,9.59,9.25,9.35,2376300,9.35
2016-11-08,9.45,9.51,9.40,9.47,1030800,9.47
2016-11-07,9.46,9.49,9.395,9.46,1300000,9.46
2016-11-04,9.45,9.48,9.38,9.45,2172300,9.45
2016-11-03,9.52,9.53,9.36,9.50,2588700,9.50
2016-11-02,9.63,9.675,9.54,9.63,2244100,9.63
2016-11-01,9.54,9.72,9.50,9.67,1676000,9.67
2016-10-31,9.50,9.58,9.49,9.54,2407700,9.54
2016-10-28,9.50,9.63,9.485,9.54,1496900,9.54
2016-10-27,9.80,9.87,9.54,9.55,3934100,9.55
2016-10-26,9.60,9.64,9.46,9.62,2434800,9.62
2016-10-25,9.47,9.705,9.47,9.66,3065100,9.66
2016-10-24,9.90,9.90,9.37,9.45,7201000,9.45
2016-10-21,10.09,10.12,9.97,10.10,1784000,10.10
2016-10-20,10.05,10.085,9.97,10.06,2198200,10.06
2016-10-19,10.00,10.05,9.96,10.03,1955200,10.03
2016-10-18,9.96,10.00,9.87,9.98,1532300,9.98
2016-10-17,9.93,9.99,9.89,9.94,1899000,9.94
2016-10-14,9.88,9.94,9.77,9.91,1748600,9.91
2016-10-13,9.75,9.90,9.62,9.88,1761800,9.88
2016-10-12,9.85,9.87,9.76,9.83,1725100,9.83
2016-10-11,9.82,9.91,9.75,9.89,2980000,9.89
2016-10-10,9.98,9.99,9.79,9.80,2524900,9.80
2016-10-07,10.00,10.03,9.94,9.97,2069400,9.97
2016-10-06,10.17,10.18,9.89,10.05,3427800,10.05
2016-10-05,10.25,10.26,10.13,10.17,1525900,10.17
2016-10-04,10.25,10.26,10.16,10.26,1896900,10.26
2016-10-03,10.30,10.34,10.22,10.25,1390200,10.25
2016-09-30,10.08,10.265,9.99,10.25,3793500,10.25
2016-09-29,10.11,10.195,10.09,10.15,1742600,10.15
2016-09-28,10.01,10.13,9.97,10.07,1285000,10.07
2016-09-27,9.92,10.11,9.92,10.07,2119200,10.07
2016-09-26,10.00,10.07,9.99,10.05,978800,10.05
2016-09-23,9.93,10.08,9.71,10.07,1938800,10.07
2016-09-22,10.09,10.11,9.92,9.96,1870400,9.96
2016-09-21,9.87,10.07,9.825,10.03,2641400,10.03
2016-09-20,9.77,9.78,9.58,9.77,3275000,9.77
2016-09-19,9.85,9.85,9.71,9.81,276400,9.81
2016-09-16,9.79,9.89,9.76,9.85,2178800,9.85
2016-09-15,9.80,9.95,9.73,9.79,3020700,9.79
2016-09-14,9.83,9.90,9.66,9.77,2189300,9.77
2016-09-13,9.80,9.85,9.72,9.84,2867400,9.84
2016-09-12,9.83,9.94,9.69,9.71,2347200,9.71
2016-09-09,9.85,9.94,9.76,9.83,2437600,9.83
2016-09-08,9.80,9.88,9.68,9.75,2081100,9.75
2016-09-07,9.90,9.97,9.775,9.88,2486300,9.88
2016-09-06,9.75,9.79,9.69,9.75,1343100,9.75
2016-09-05,9.76,9.79,9.64,9.75,1450500,9.75
2016-09-02,9.62,9.79,9.61,9.79,3089600,9.79
2016-09-01,9.53,9.61,9.485,9.61,2879700,9.61
2016-08-31,9.90,9.94,9.65,9.78,3623000,9.5025
2016-08-30,9.83,9.99,9.80,9.89,2783400,9.60938
2016-08-29,9.35,9.795,9.28,9.69,4275100,9.41505
2016-08-26,9.55,9.67,9.12,9.17,4433000,8.90981
2016-08-25,9.52,9.60,9.49,9.59,2155300,9.31789
2016-08-24,9.50,9.57,9.50,9.55,1660100,9.27903
2016-08-23,9.45,9.56,9.43,9.52,1463900,9.24988
2016-08-22,9.45,9.50,9.405,9.50,1412900,9.23044
2016-08-19,9.44,9.47,9.38,9.45,777000,9.18186
2016-08-18,9.50,9.50,9.36,9.43,1521800,9.16243
2016-08-17,9.43,9.48,9.41,9.44,1344400,9.17215
2016-08-16,9.40,9.44,9.38,9.40,1378200,9.13328
2016-08-15,9.32,9.44,9.32,9.41,1884900,9.143
2016-08-12,9.23,9.29,9.20,9.29,1350000,9.0264
2016-08-11,9.11,9.17,9.06,9.11,1373300,8.85151
2016-08-10,9.09,9.13,9.01,9.11,1708900,8.85151
2016-08-09,9.23,9.24,9.05,9.10,1916000,8.84179
2016-08-08,9.26,9.29,9.20,9.26,1525100,8.99725
2016-08-05,9.21,9.26,9.12,9.25,1928100,8.98754
2016-08-04,9.11,9.23,9.11,9.20,1907700,8.93896
2016-08-03,9.06,9.15,9.03,9.09,2952100,8.83208
2016-08-02,9.24,9.26,9.08,9.16,1895100,8.90009
2016-08-01,9.18,9.30,9.14,9.27,1370000,9.00697
2016-07-29,9.09,9.24,9.07,9.22,4132200,8.95839
2016-07-28,9.03,9.18,9.00,9.16,3182000,8.90009
2016-07-27,9.07,9.11,9.00,9.04,1519000,8.7835
2016-07-26,9.05,9.18,9.03,9.06,3513200,8.80293
2016-07-25,8.82,9.10,8.80,9.10,1661200,8.84179
2016-07-22,8.93,8.94,8.76,8.85,4874800,8.59889
