Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,1.575,1.592,1.535,1.575,127000,1.575
2016-11-21,1.58,1.58,1.52,1.565,131200,1.565
2016-11-18,1.585,1.595,1.57,1.58,620500,1.58
2016-11-17,1.59,1.595,1.57,1.585,554200,1.585
2016-11-16,1.575,1.615,1.575,1.595,85800,1.595
2016-11-15,1.61,1.63,1.575,1.59,329900,1.59
2016-11-14,1.58,1.625,1.565,1.60,441000,1.60
2016-11-11,1.50,1.57,1.49,1.56,280900,1.56
2016-11-10,1.50,1.52,1.475,1.51,175100,1.51
2016-11-09,1.48,1.50,1.41,1.41,283400,1.41
2016-11-08,1.45,1.48,1.45,1.465,106800,1.465
2016-11-07,1.43,1.46,1.43,1.445,65800,1.445
2016-11-04,1.42,1.49,1.42,1.445,170000,1.445
2016-11-03,1.36,1.4525,1.31,1.41,272100,1.41
2016-11-02,1.51,1.51,1.415,1.42,265000,1.42
2016-11-01,1.485,1.52,1.485,1.50,26200,1.50
2016-10-31,1.53,1.53,1.49,1.52,93500,1.52
2016-10-28,1.51,1.54,1.475,1.505,112600,1.505
2016-10-27,1.585,1.61,1.48,1.52,525700,1.52
2016-10-26,1.545,1.595,1.53,1.59,316000,1.59
2016-10-25,1.53,1.55,1.525,1.545,232100,1.545
2016-10-24,1.54,1.54,1.525,1.53,81200,1.53
2016-10-21,1.55,1.55,1.53,1.53,58100,1.53
2016-10-20,1.53,1.55,1.525,1.545,144600,1.545
2016-10-19,1.575,1.575,1.52,1.56,144400,1.56
2016-10-18,1.485,1.565,1.46,1.565,413700,1.565
2016-10-17,1.585,1.595,1.42,1.455,394000,1.455
2016-10-14,1.55,1.60,1.55,1.59,209400,1.59
2016-10-13,1.59,1.595,1.53,1.53,111800,1.53
2016-10-12,1.575,1.60,1.565,1.60,202400,1.60
2016-10-11,1.58,1.61,1.575,1.58,105900,1.58
2016-10-10,1.635,1.635,1.565,1.575,90600,1.575
2016-10-07,1.64,1.64,1.555,1.56,167800,1.56
2016-10-06,1.63,1.68,1.615,1.64,385700,1.64
2016-10-05,1.615,1.65,1.60,1.625,325900,1.625
2016-10-04,1.62,1.63,1.595,1.62,255800,1.62
2016-10-03,1.61,1.64,1.60,1.61,156400,1.61
2016-09-30,1.595,1.64,1.59,1.61,195100,1.61
2016-09-29,1.59,1.61,1.55,1.61,177400,1.61
2016-09-28,1.61,1.61,1.525,1.575,254600,1.575
2016-09-27,1.63,1.655,1.585,1.61,279200,1.61
2016-09-26,1.52,1.61,1.52,1.61,394800,1.61
2016-09-23,1.48,1.527,1.467,1.505,370300,1.505
2016-09-22,1.48,1.48,1.455,1.47,140800,1.47
2016-09-21,1.49,1.50,1.47,1.48,357100,1.48
2016-09-20,1.48,1.495,1.47,1.49,259100,1.49
2016-09-19,1.44,1.487,1.435,1.485,339800,1.485
2016-09-16,1.38,1.44,1.38,1.43,548400,1.43
2016-09-15,1.35,1.42,1.35,1.42,1401300,1.42
2016-09-14,1.32,1.375,1.32,1.36,152100,1.36
