Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,10.68,10.745,10.56,10.66,1599900,10.66
2016-11-21,10.66,10.66,10.45,10.53,1707800,10.53
2016-11-18,10.60,10.67,10.49,10.66,1683700,10.66
2016-11-17,10.53,10.635,10.41,10.59,1441500,10.59
2016-11-16,10.55,10.595,10.395,10.59,1945200,10.59
2016-11-15,10.37,10.67,10.33,10.56,1868000,10.56
2016-11-14,10.50,10.56,10.33,10.44,1105700,10.44
2016-11-11,10.55,10.64,10.29,10.53,1685700,10.53
2016-11-10,10.50,10.78,10.44,10.54,2624000,10.54
2016-11-09,10.50,10.80,9.73,10.10,5266400,10.10
2016-11-08,10.55,10.60,10.39,10.47,2361200,10.47
2016-11-07,10.15,10.42,10.15,10.40,1855200,10.40
2016-11-04,10.20,10.295,10.11,10.12,3361500,10.12
2016-11-03,10.24,10.385,10.20,10.34,1855300,10.34
2016-11-02,10.58,10.64,10.31,10.38,2210600,10.38
2016-11-01,10.70,10.78,10.605,10.74,1473800,10.74
2016-10-31,10.70,10.79,10.42,10.76,2319700,10.76
2016-10-28,10.91,10.92,10.57,10.74,2916200,10.74
2016-10-27,11.24,11.89,10.86,10.94,5446200,10.94
2016-10-26,10.50,10.625,10.38,10.49,2732200,10.49
2016-10-25,10.40,10.58,10.37,10.51,1695700,10.51
2016-10-24,10.39,10.44,10.23,10.37,1434000,10.37
2016-10-21,10.52,10.54,10.355,10.44,1961200,10.44
2016-10-20,10.42,10.605,10.39,10.49,2498700,10.49
2016-10-19,10.70,10.75,10.25,10.38,2885600,10.38
2016-10-18,10.25,10.765,10.25,10.62,3678400,10.62
2016-10-17,10.14,10.16,9.97,10.00,2509300,10.00
2016-10-14,10.24,10.26,10.13,10.14,1378000,10.14
2016-10-13,10.33,10.36,10.18,10.19,1622800,10.19
2016-10-12,10.41,10.46,10.16,10.33,2359300,10.33
2016-10-11,10.66,10.67,10.44,10.47,2822400,10.47
2016-10-10,10.42,10.675,10.39,10.65,2074200,10.65
2016-10-07,10.50,10.50,10.31,10.36,2103000,10.36
2016-10-06,10.29,10.455,10.29,10.45,1783500,10.45
2016-10-05,10.31,10.39,10.25,10.28,2871900,10.28
2016-10-04,10.35,10.38,10.19,10.36,1791800,10.36
2016-10-03,10.24,10.33,10.19,10.31,1450400,10.31
2016-09-30,10.00,10.205,9.99,10.17,2853300,10.17
2016-09-29,10.10,10.19,10.01,10.18,2192000,10.18
2016-09-28,9.98,10.03,9.91,9.93,1424500,9.93
2016-09-27,10.00,10.02,9.855,9.91,2103800,9.91
2016-09-26,10.00,10.18,9.97,10.14,2051100,10.14
2016-09-23,9.94,10.06,9.815,10.06,3753500,10.06
2016-09-22,9.90,10.04,9.86,9.96,3517200,9.96
2016-09-21,9.70,9.88,9.65,9.84,3882600,9.84
2016-09-20,9.54,9.75,9.54,9.72,4262800,9.72
2016-09-19,9.67,9.67,9.46,9.605,702000,9.605
2016-09-16,9.50,9.74,9.46,9.68,4354900,9.68
2016-09-15,9.27,9.52,9.21,9.49,6663600,9.49
2016-09-14,9.02,9.19,9.02,9.18,4098200,9.18
2016-09-13,9.07,9.08,8.97,9.03,2773500,9.03
2016-09-12,8.96,9.02,8.87,8.92,2169000,8.92
2016-09-09,9.11,9.19,9.05,9.18,3196500,9.18
2016-09-08,9.35,9.38,9.13,9.25,1978200,9.25
2016-09-07,9.26,9.36,9.25,9.33,2004900,9.33
2016-09-06,9.25,9.25,9.05,9.25,2316500,9.25
2016-09-05,9.00,9.375,8.98,9.30,2101800,9.30
2016-09-02,8.94,9.00,8.90,8.98,2081000,8.98
2016-09-01,9.00,9.08,8.93,8.98,2795400,8.98
2016-08-31,9.13,9.21,9.035,9.19,4726300,8.954
2016-08-30,9.08,9.16,8.96,9.13,2556400,8.896
2016-08-29,8.95,9.04,8.92,9.03,1733400,8.798
2016-08-26,9.05,9.07,8.915,9.00,1709100,8.769
2016-08-25,9.05,9.13,9.04,9.09,2108300,8.857
2016-08-24,9.25,9.28,9.07,9.09,1688900,8.857
2016-08-23,9.11,9.215,9.02,9.20,3762400,8.964
2016-08-22,9.16,9.21,9.125,9.14,2339100,8.906
2016-08-19,9.28,9.32,9.10,9.12,1845300,8.886
2016-08-18,9.33,9.37,9.20,9.28,2784200,9.042
2016-08-17,9.45,9.56,9.25,9.35,2368800,9.11
2016-08-16,9.26,9.88,9.055,9.37,5186200,9.13
2016-08-15,9.19,9.33,9.16,9.23,1445200,8.993
2016-08-12,9.21,9.29,9.12,9.19,1601500,8.954
2016-08-11,9.02,9.17,9.01,9.15,1481900,8.915
2016-08-10,9.07,9.14,9.03,9.10,1446800,8.867
2016-08-09,9.19,9.19,8.985,9.07,1579200,8.837
2016-08-08,9.14,9.15,9.10,9.14,1625200,8.906
2016-08-05,8.97,9.10,8.95,9.08,1967100,8.847
2016-08-04,8.99,8.99,8.895,8.93,2479600,8.701
2016-08-03,9.00,9.01,8.67,8.90,7115900,8.672
2016-08-02,9.51,9.63,9.35,9.35,2859900,9.11
2016-08-01,9.50,9.58,9.38,9.58,1627600,9.334
2016-07-29,9.38,9.50,9.35,9.50,2213000,9.256
2016-07-28,9.29,9.36,9.28,9.34,1890700,9.10
2016-07-27,9.34,9.38,9.28,9.33,1323200,9.091
2016-07-26,9.34,9.34,9.225,9.33,1757300,9.091
2016-07-25,9.26,9.35,9.245,9.33,2198600,9.091
2016-07-22,9.10,9.22,9.07,9.17,1924000,8.935
2016-07-21,9.15,9.20,9.03,9.08,1907600,8.847
2016-07-20,9.02,9.10,9.02,9.05,1987300,8.818
2016-07-19,9.05,9.07,8.995,9.01,1148800,8.779
2016-07-18,9.12,9.12,9.03,9.06,1420300,8.828
2016-07-15,8.99,9.14,8.92,9.05,2043600,8.818
2016-07-14,8.90,8.98,8.88,8.93,2098600,8.701
2016-07-13,8.89,8.91,8.84,8.88,1917700,8.652
2016-07-12,8.80,8.87,8.75,8.80,1880100,8.574
2016-07-11,8.75,8.75,8.68,8.69,1762100,8.467
2016-07-08,8.59,8.69,8.55,8.61,1767800,8.389
2016-07-07,8.60,8.69,8.54,8.69,1524100,8.467
2016-07-06,8.55,8.64,8.42,8.49,1844600,8.272
2016-07-05,8.80,8.80,8.57,8.60,1426600,8.379
2016-07-04,8.55,8.795,8.55,8.77,1544900,8.545
2016-07-01,8.67,8.81,8.645,8.79,2434200,8.565
2016-06-30,8.65,8.76,8.61,8.63,3336000,8.409
2016-06-29,8.70,8.77,8.51,8.51,2318300,8.292
2016-06-28,8.25,8.47,8.13,8.43,4239500,8.214
2016-06-27,8.54,8.55,8.37,8.46,3965200,8.243
2016-06-24,9.28,9.34,8.635,8.70,4396400,8.477
2016-06-23,9.25,9.30,9.19,9.21,1253700,8.974
2016-06-22,9.20,9.25,9.16,9.24,1457900,9.003
2016-06-21,9.12,9.20,9.10,9.18,1880200,8.945
2016-06-20,8.90,9.10,8.90,9.10,2293600,8.867
