Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,1.41,1.425,1.385,1.395,199500,1.395
2016-11-21,1.38,1.41,1.375,1.40,431900,1.40
2016-11-18,1.36,1.385,1.355,1.38,170700,1.38
2016-11-17,1.315,1.36,1.30,1.36,202200,1.36
2016-11-16,1.305,1.31,1.30,1.305,69800,1.305
2016-11-15,1.31,1.32,1.30,1.315,258600,1.315
2016-11-14,1.30,1.31,1.27,1.29,257600,1.29
2016-11-11,1.33,1.33,1.285,1.295,119500,1.295
2016-11-10,1.30,1.34,1.29,1.295,393000,1.295
2016-11-09,1.36,1.36,1.23,1.28,572500,1.28
2016-11-08,1.38,1.39,1.32,1.355,377000,1.355
2016-11-07,1.32,1.375,1.29,1.365,767400,1.365
2016-11-04,1.26,1.335,1.23,1.33,506300,1.33
2016-11-03,1.25,1.27,1.25,1.265,118500,1.265
2016-11-02,1.30,1.315,1.24,1.24,242800,1.24
2016-11-01,1.34,1.34,1.30,1.30,157900,1.30
2016-10-31,1.32,1.335,1.31,1.335,120800,1.335
2016-10-28,1.335,1.345,1.31,1.325,143200,1.325
2016-10-27,1.38,1.38,1.325,1.33,222300,1.33
2016-10-26,1.37,1.38,1.355,1.38,241100,1.38
2016-10-25,1.35,1.365,1.345,1.365,293200,1.365
2016-10-24,1.32,1.345,1.32,1.34,203400,1.34
2016-10-21,1.31,1.32,1.31,1.32,29200,1.32
2016-10-20,1.315,1.325,1.31,1.315,163300,1.315
2016-10-19,1.30,1.32,1.29,1.30,115400,1.30
2016-10-18,1.30,1.3175,1.29,1.30,112700,1.30
2016-10-17,1.32,1.33,1.28,1.285,227600,1.285
2016-10-14,1.315,1.315,1.27,1.275,127700,1.275
2016-10-13,1.375,1.38,1.275,1.295,392900,1.295
2016-10-12,1.305,1.365,1.305,1.35,396200,1.35
2016-10-11,1.27,1.305,1.265,1.305,822000,1.305
2016-10-10,1.22,1.265,1.22,1.25,577200,1.25
2016-10-07,1.205,1.21,1.195,1.20,214100,1.20
2016-10-06,1.195,1.21,1.185,1.195,253000,1.195
2016-10-05,1.19,1.195,1.18,1.18,266600,1.18
2016-10-04,1.20,1.20,1.185,1.185,134000,1.185
2016-10-03,1.20,1.20,1.18,1.20,116300,1.20
2016-09-30,1.20,1.205,1.18,1.18,242900,1.18
2016-09-29,1.21,1.21,1.18,1.19,449100,1.19
2016-09-28,1.205,1.22,1.165,1.185,560800,1.185
2016-09-27,1.24,1.24,1.19,1.195,1411100,1.1393
2016-09-26,1.205,1.235,1.205,1.23,677700,1.1727
2016-09-23,1.22,1.235,1.19,1.19,874900,1.1345
2016-09-22,1.20,1.215,1.19,1.195,670800,1.1393
2016-09-21,1.225,1.225,1.165,1.18,689600,1.125
2016-09-20,1.26,1.26,1.22,1.22,269300,1.1631
2016-09-19,1.275,1.275,1.23,1.26,74200,1.2013
2016-09-16,1.27,1.28,1.215,1.215,1891400,1.1584
2016-09-15,1.27,1.27,1.23,1.235,159900,1.1774
2016-09-14,1.30,1.305,1.26,1.26,162200,1.2013
2016-09-13,1.325,1.325,1.30,1.30,152900,1.2394
2016-09-12,1.34,1.345,1.30,1.30,156900,1.2394
2016-09-09,1.36,1.37,1.345,1.345,47900,1.2823
2016-09-08,1.34,1.37,1.34,1.37,191300,1.3061
2016-09-07,1.34,1.37,1.32,1.335,398100,1.2728
2016-09-06,1.33,1.345,1.32,1.32,116900,1.2585
2016-09-05,1.34,1.35,1.305,1.32,217500,1.2585
2016-09-02,1.34,1.345,1.315,1.325,155500,1.2632
2016-09-01,1.31,1.35,1.31,1.33,176500,1.268
2016-08-31,1.295,1.32,1.265,1.31,372900,1.2489
2016-08-30,1.20,1.295,1.195,1.295,597200,1.2346
2016-08-29,1.255,1.28,1.24,1.245,239800,1.187
2016-08-26,1.26,1.275,1.25,1.26,202600,1.2013
2016-08-25,1.30,1.30,1.24,1.265,399100,1.206
2016-08-24,1.32,1.335,1.295,1.295,169000,1.2346
2016-08-23,1.35,1.35,1.29,1.305,326800,1.2442
2016-08-22,1.355,1.3675,1.332,1.35,269000,1.2871
2016-08-19,1.315,1.38,1.31,1.35,365600,1.2871
2016-08-18,1.40,1.415,1.275,1.305,1145700,1.2442
2016-08-17,1.42,1.42,1.375,1.40,402800,1.3347
2016-08-16,1.425,1.425,1.41,1.415,285400,1.349
2016-08-15,1.42,1.43,1.41,1.425,77800,1.3586
2016-08-12,1.385,1.42,1.385,1.41,152400,1.3443
2016-08-11,1.44,1.44,1.36,1.365,310100,1.3014
2016-08-10,1.445,1.45,1.415,1.45,256500,1.3824
2016-08-09,1.48,1.50,1.425,1.44,414200,1.3729
2016-08-08,1.38,1.48,1.38,1.46,461900,1.3919
2016-08-05,1.39,1.395,1.36,1.36,219900,1.2966
2016-08-04,1.35,1.385,1.34,1.375,256100,1.3109
2016-08-03,1.35,1.37,1.31,1.35,299000,1.2871
2016-08-02,1.38,1.38,1.365,1.37,262900,1.3061
2016-08-01,1.35,1.38,1.335,1.38,540800,1.3157
2016-07-29,1.285,1.315,1.28,1.30,250600,1.2394
