Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,118.20,119.92,117.92,119.42,325900,119.42
2016-11-21,118.72,119.03,115.50,116.91,272900,116.91
2016-11-18,119.79,120.23,118.30,119.27,200000,119.27
2016-11-17,119.62,121.15,118.48,119.83,170400,119.83
2016-11-16,122.00,122.23,119.50,120.58,268400,120.58
2016-11-15,121.62,121.62,118.22,119.80,190100,119.80
2016-11-14,123.44,124.74,121.62,122.28,141200,122.28
2016-11-11,125.60,126.20,121.83,123.94,151500,123.94
2016-11-10,124.55,126.81,124.03,125.50,204600,125.50
2016-11-09,125.35,126.07,119.81,122.80,179200,122.80
2016-11-08,127.00,128.00,124.59,125.13,169100,125.13
2016-11-07,124.64,126.47,124.31,126.12,218000,126.12
2016-11-04,124.50,124.83,123.01,124.12,155400,124.12
2016-11-03,124.53,125.67,124.03,124.69,175500,124.69
2016-11-02,125.58,125.97,124.05,124.70,244100,124.70
2016-11-01,128.05,128.37,126.11,126.62,147300,126.62
2016-10-31,125.70,128.09,125.65,127.96,201700,127.96
2016-10-28,125.00,127.29,125.00,126.00,181000,126.00
2016-10-27,126.64,127.47,124.74,125.18,159000,125.18
2016-10-26,126.60,128.20,126.04,127.20,312000,127.20
2016-10-25,128.30,129.62,126.82,127.85,247100,127.85
2016-10-24,132.64,133.76,128.90,129.36,288600,129.36
2016-10-21,137.98,137.98,134.78,135.10,143500,135.10
2016-10-20,138.15,138.50,137.05,137.80,151500,137.80
2016-10-19,136.66,138.15,135.50,138.00,179800,138.00
2016-10-18,136.50,137.37,135.67,136.90,135900,136.90
2016-10-17,138.00,139.00,136.55,136.67,116100,136.67
2016-10-14,139.37,139.75,138.00,138.08,121100,138.08
2016-10-13,138.46,139.45,136.68,137.18,105400,137.18
2016-10-12,137.50,138.40,136.50,138.40,170200,138.40
2016-10-11,139.14,139.445,137.97,138.07,172800,138.07
2016-10-10,142.25,142.255,140.15,140.41,78600,140.41
2016-10-07,142.17,143.67,141.51,141.70,134900,141.70
2016-10-06,143.00,143.205,140.67,141.62,210600,141.62
2016-10-05,141.27,142.75,141.15,142.62,199000,142.62
2016-10-04,140.00,141.92,139.91,141.92,154500,141.92
2016-10-03,141.50,141.67,140.11,140.49,90400,140.49
2016-09-30,140.15,141.34,138.97,140.99,190600,140.99
2016-09-29,142.49,143.56,140.16,141.35,186100,141.35
2016-09-28,141.00,141.95,140.38,141.85,121200,141.85
2016-09-27,138.39,140.71,137.57,140.71,159700,140.71
2016-09-26,140.00,140.00,138.18,139.07,63400,139.07
2016-09-23,138.99,140.00,137.37,139.99,126000,139.99
2016-09-22,138.44,139.12,137.09,138.41,121800,138.41
2016-09-21,140.00,140.61,137.84,138.10,185400,138.10
2016-09-20,137.08,139.90,137.08,139.90,172000,139.90
2016-09-19,136.92,136.92,135.65,136.53,15300,136.53
2016-09-16,134.88,136.73,134.20,136.72,261000,136.72
2016-09-15,133.55,134.90,133.55,133.85,226900,133.85
2016-09-14,135.00,136.58,134.70,135.26,236100,135.26
2016-09-13,134.50,139.27,134.205,135.87,223700,135.87
2016-09-12,134.10,134.99,132.10,132.29,191500,132.29
2016-09-09,137.40,137.98,134.78,135.81,218200,135.81
2016-09-08,137.25,139.39,137.11,138.00,222900,138.00
2016-09-07,137.00,139.05,135.42,138.62,251600,138.62
2016-09-06,139.74,140.20,138.71,139.10,169000,137.386
2016-09-05,139.35,140.20,138.255,139.32,184400,137.603
2016-09-02,141.59,142.50,138.22,138.48,185900,136.773
2016-09-01,140.89,142.25,139.70,142.03,196900,140.28
2016-08-31,142.37,142.79,140.08,140.90,227800,139.164
2016-08-30,143.22,143.58,141.21,141.85,186100,140.102
2016-08-29,142.60,143.20,140.67,142.54,201200,140.783
2016-08-26,142.00,144.12,141.02,143.12,198600,141.356
2016-08-25,141.10,142.12,140.25,141.85,205400,140.102
2016-08-24,141.60,142.37,139.73,141.83,230600,140.082
2016-08-23,138.69,140.99,138.01,140.87,233700,139.134
2016-08-22,139.20,140.54,138.30,139.74,153400,138.018
2016-08-19,138.96,139.50,138.26,138.90,199400,137.188
2016-08-18,136.67,139.10,136.09,138.02,383400,136.319
2016-08-17,135.00,136.77,132.95,136.59,283000,134.907
2016-08-16,137.99,138.79,136.83,137.72,325600,136.023
2016-08-15,139.62,139.74,137.42,138.43,197800,136.724
2016-08-12,136.51,141.00,136.33,139.74,383400,138.018
2016-08-11,134.51,137.31,133.00,136.16,291500,134.482
2016-08-10,125.48,134.51,125.46,134.51,451600,132.852
2016-08-09,127.20,128.41,119.81,125.00,526500,123.459
2016-08-08,129.61,129.88,127.67,128.59,114300,127.005
2016-08-05,127.20,129.59,127.20,129.18,180500,127.588
2016-08-04,130.18,130.76,127.27,127.35,206900,125.781
2016-08-03,131.40,132.90,130.05,130.05,192900,128.447
2016-08-02,131.00,132.01,130.62,130.86,141000,129.247
2016-08-01,132.73,132.95,131.44,131.44,113700,129.82
2016-07-29,130.64,132.73,130.34,132.73,206600,131.094
2016-07-28,129.99,130.83,128.93,130.33,195500,128.724
2016-07-27,130.00,132.09,129.05,129.62,217100,128.023
2016-07-26,128.70,129.99,128.05,129.81,179400,128.21
2016-07-25,128.00,130.32,127.72,129.30,105900,127.706
2016-07-22,129.50,129.62,128.04,128.85,121100,127.262
2016-07-21,127.00,130.54,126.59,129.66,291000,128.062
2016-07-20,125.51,126.34,124.27,125.37,209400,123.825
2016-07-19,125.00,125.71,124.05,124.88,172700,123.341
2016-07-18,124.93,126.38,123.92,124.74,158400,123.203
2016-07-15,126.47,126.57,124.32,124.77,184700,123.232
2016-07-14,124.98,126.94,124.54,126.00,149500,124.447
2016-07-13,124.61,124.83,123.18,124.29,280400,122.758
2016-07-12,123.95,124.53,123.37,124.43,187800,122.897
2016-07-11,122.15,123.59,121.89,123.19,88800,121.672
2016-07-08,121.84,122.95,120.90,121.30,131600,119.805
2016-07-07,122.00,122.18,120.51,121.83,89100,120.329
2016-07-06,121.70,122.75,119.92,121.72,203000,120.22
2016-07-05,123.80,124.58,121.29,121.74,128400,120.24
2016-07-04,121.21,123.70,121.11,123.12,105000,121.603
2016-07-01,120.69,122.695,120.69,121.29,121800,119.795
2016-06-30,120.42,122.14,120.42,121.25,259800,119.756
2016-06-29,119.20,120.75,119.13,119.69,230100,118.215
2016-06-28,119.00,120.37,118.34,118.44,262100,116.98
2016-06-27,119.95,121.53,119.00,120.25,146000,118.768
2016-06-24,122.00,123.93,119.50,119.95,231100,118.472
2016-06-23,120.82,121.96,120.75,121.10,93700,119.608
2016-06-22,122.48,122.92,120.82,121.02,177000,119.529
2016-06-21,120.83,122.20,119.75,121.60,230000,120.101
2016-06-20,123.71,124.95,120.16,120.20,299900,118.719
2016-06-17,122.26,122.33,121.04,122.33,218700,120.822
2016-06-16,122.95,123.11,121.34,122.37,215800,120.862
2016-06-15,121.96,123.63,120.36,122.85,357300,121.336
2016-06-14,120.90,122.09,120.79,122.00,305400,120.496
2016-06-13,122.16,122.16,122.16,122.16,000,120.654
2016-06-10,121.15,123.73,121.15,122.16,196200,120.654
2016-06-09,121.72,122.36,121.10,121.68,278500,120.18
2016-06-08,121.56,122.83,120.40,121.40,307000,119.904
2016-06-07,123.13,123.36,121.87,122.38,193100,120.872
2016-06-06,121.66,123.07,121.00,122.79,200300,121.277
2016-06-03,121.90,122.87,120.67,121.92,189100,120.417
2016-06-02,120.91,123.06,120.52,121.18,310800,119.687
2016-06-01,120.90,122.21,120.29,121.20,324200,119.706
2016-05-31,120.35,120.99,119.55,120.67,308600,119.183
2016-05-30,119.61,120.39,119.06,120.36,85700,118.877
2016-05-27,120.20,120.85,119.14,119.52,207600,118.047
2016-05-26,120.19,120.88,118.76,119.85,219000,118.373
2016-05-25,119.93,120.25,118.38,119.85,184700,118.373
2016-05-24,118.23,119.53,117.65,119.28,199200,117.81
2016-05-23,118.00,119.19,117.03,117.86,150000,116.407
2016-05-20,117.22,118.10,116.69,117.84,262400,116.388
2016-05-19,118.65,119.34,116.59,117.45,242100,116.003
2016-05-18,119.30,119.67,117.93,118.09,294100,116.635
2016-05-17,116.89,119.60,116.23,119.30,348100,117.83
2016-05-16,112.16,115.66,112.095,115.63,349100,114.205
2016-05-13,112.21,112.40,110.44,111.84,348400,110.462
2016-05-12,115.55,115.69,109.97,110.38,463500,109.02
2016-05-11,117.00,117.26,115.02,115.95,275700,114.521
2016-05-10,112.91,115.60,112.23,115.37,361300,113.948
2016-05-09,111.40,112.89,110.21,112.89,189500,111.499
2016-05-06,110.62,111.94,109.20,111.94,245800,110.56
2016-05-05,112.07,112.95,109.39,111.61,347700,110.235
2016-05-04,112.94,113.70,112.01,113.32,220800,111.923
2016-05-03,109.80,113.85,109.80,113.57,282000,112.17
