Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,11.58,11.68,11.50,11.56,2370700,11.56
2016-11-21,11.60,11.68,11.45,11.55,1257000,11.55
2016-11-18,11.43,11.74,11.43,11.69,1646000,11.69
2016-11-17,11.35,11.71,11.35,11.54,2296200,11.54
2016-11-16,11.40,11.58,11.38,11.52,1664900,11.52
2016-11-15,11.43,11.685,11.28,11.57,2211200,11.57
2016-11-14,11.45,11.63,11.34,11.54,1913700,11.54
2016-11-11,11.39,11.55,11.225,11.44,2552500,11.44
2016-11-10,11.01,11.64,10.99,11.46,4410500,11.46
2016-11-09,10.50,10.95,10.07,10.23,3372200,10.23
2016-11-08,10.32,10.475,10.24,10.30,1721200,10.30
2016-11-07,10.38,10.50,10.38,10.50,1527300,10.50
2016-11-04,10.30,10.32,10.16,10.29,1886600,10.29
2016-11-03,10.25,10.39,10.195,10.26,1503900,10.26
2016-11-02,10.45,10.58,10.21,10.27,1741200,10.27
2016-11-01,10.53,10.59,10.46,10.55,1082600,10.55
2016-10-31,10.51,10.60,10.51,10.55,1313000,10.55
2016-10-28,10.63,10.76,10.45,10.55,3990500,10.55
2016-10-27,10.47,10.73,10.43,10.65,2128900,10.65
2016-10-26,10.54,10.62,10.42,10.54,1903500,10.54
2016-10-25,10.41,10.75,10.41,10.64,1870900,10.64
2016-10-24,10.51,10.53,10.30,10.43,1876900,10.43
2016-10-21,10.63,10.70,10.49,10.55,1036600,10.55
2016-10-20,10.64,10.72,10.62,10.67,979000,10.67
2016-10-19,10.80,10.81,10.59,10.66,1719300,10.66
2016-10-18,10.90,10.94,10.63,10.81,1695800,10.81
2016-10-17,10.66,10.995,10.61,10.89,1962300,10.89
2016-10-14,10.52,10.67,10.50,10.59,881400,10.59
2016-10-13,10.65,10.68,10.50,10.54,1137500,10.54
2016-10-12,10.69,10.79,10.68,10.75,972500,10.75
2016-10-11,10.81,10.865,10.75,10.76,752700,10.76
2016-10-10,10.78,10.855,10.76,10.78,893000,10.78
2016-10-07,10.90,10.94,10.75,10.78,908500,10.78
2016-10-06,10.74,10.91,10.62,10.88,1453100,10.88
2016-10-05,10.48,10.85,10.45,10.70,1905200,10.70
2016-10-04,10.35,10.50,10.33,10.47,908100,10.47
2016-10-03,10.38,10.46,10.31,10.35,494800,10.35
2016-09-30,10.29,10.34,10.21,10.32,1288500,10.32
2016-09-29,10.42,10.49,10.38,10.40,796400,10.40
2016-09-28,10.20,10.39,10.20,10.31,1061300,10.31
2016-09-27,10.29,10.36,10.25,10.31,1029900,10.31
2016-09-26,10.32,10.50,10.27,10.45,1381000,10.45
2016-09-23,10.14,10.33,10.03,10.31,1552100,10.31
2016-09-22,10.22,10.23,10.07,10.14,1263900,10.14
2016-09-21,9.95,10.20,9.95,10.20,1972200,10.20
2016-09-20,9.96,10.04,9.93,10.03,1376700,10.03
2016-09-19,10.18,10.18,9.96,10.015,361300,10.015
2016-09-16,10.08,10.20,10.03,10.18,1519200,10.18
2016-09-15,9.96,10.08,9.94,10.03,1972400,10.03
2016-09-14,9.97,10.06,9.89,10.04,1790100,10.04
2016-09-13,10.04,10.12,9.935,9.97,1497500,9.97
2016-09-12,9.93,10.12,9.87,10.01,2348600,10.01
2016-09-09,9.95,10.08,9.885,10.01,2643100,10.01
2016-09-08,9.99,10.14,9.98,10.05,1480500,10.05
2016-09-07,10.20,10.22,9.91,10.13,1775900,10.13
2016-09-06,10.14,10.20,10.07,10.18,1409400,10.18
2016-09-05,9.98,10.25,9.95,10.17,1497800,10.17
2016-09-02,9.97,10.00,9.86,9.98,1571100,9.98
2016-09-01,9.85,10.06,9.85,10.02,1354200,10.02
2016-08-31,9.86,9.91,9.70,9.88,2694900,9.88
2016-08-30,9.95,9.96,9.845,9.88,1077200,9.88
2016-08-29,9.86,9.98,9.83,9.89,878100,9.89
2016-08-26,9.90,9.945,9.82,9.85,1254200,9.85
2016-08-25,10.10,10.11,9.91,9.92,1617200,9.92
2016-08-24,10.20,10.23,10.11,10.15,1145400,10.15
2016-08-23,10.11,10.27,10.06,10.17,2091500,10.17
2016-08-22,10.05,10.14,10.05,10.11,1937100,10.11
2016-08-19,10.04,10.10,9.98,10.07,1332200,10.07
2016-08-18,10.15,10.15,9.96,10.03,1519100,10.03
2016-08-17,9.86,10.08,9.86,10.08,2111600,10.08
2016-08-16,9.99,10.11,9.86,9.88,2048800,9.88
2016-08-15,10.05,10.185,10.01,10.16,2094100,9.9754
2016-08-12,9.87,10.14,9.87,10.05,3048500,9.8674
2016-08-11,9.71,9.98,9.70,9.83,3339100,9.6514
2016-08-10,9.88,10.17,9.42,9.74,6154800,9.56303
2016-08-09,8.96,9.04,8.89,8.95,1919100,8.78738
2016-08-08,8.87,8.99,8.85,8.92,1641200,8.75793
2016-08-05,8.80,8.97,8.765,8.83,2054400,8.66957
2016-08-04,8.68,8.83,8.68,8.82,2048300,8.65975
2016-08-03,8.83,8.86,8.64,8.66,2829400,8.50265
2016-08-02,8.84,8.95,8.84,8.84,1858800,8.67938
2016-08-01,8.85,8.93,8.81,8.91,1638300,8.74811
2016-07-29,9.00,9.00,8.82,8.88,3575900,8.71866
2016-07-28,8.98,9.05,8.96,9.00,2810500,8.83648
2016-07-27,8.98,9.02,8.87,8.88,1950300,8.71866
