Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,16.94,17.43,16.88,17.33,274400,17.33
2016-11-21,16.89,17.13,16.10,16.96,183700,16.96
2016-11-18,16.90,17.25,16.89,17.21,270900,17.21
2016-11-17,16.50,16.94,16.00,16.90,544000,16.90
2016-11-16,17.20,17.25,16.75,16.85,430500,16.85
2016-11-15,17.04,17.39,16.97,17.32,400800,17.32
2016-11-14,17.30,17.47,16.97,17.22,566100,17.22
2016-11-11,18.35,18.44,17.62,17.80,284800,17.80
2016-11-10,18.00,18.46,18.00,18.32,217200,18.32
2016-11-09,18.29,18.56,17.33,17.57,370600,17.57
2016-11-08,18.20,18.47,18.14,18.19,374200,18.19
2016-11-07,18.04,18.25,17.88,18.20,201700,18.20
2016-11-04,18.10,18.29,17.94,18.04,523800,18.04
2016-11-03,18.00,18.31,17.88,18.12,428700,18.12
2016-11-02,18.88,18.91,18.29,18.35,903700,18.35
2016-11-01,18.88,19.00,18.57,18.93,411000,18.93
2016-10-31,19.05,19.25,18.85,19.00,357100,19.00
2016-10-28,18.50,19.11,18.48,18.80,439400,18.80
2016-10-27,17.95,18.61,17.90,18.45,536300,18.45
2016-10-26,18.00,18.11,17.84,17.99,340800,17.99
2016-10-25,18.11,18.33,18.01,18.07,346600,18.07
2016-10-24,17.86,18.36,17.63,18.15,463400,18.15
2016-10-21,17.95,18.06,17.61,17.85,1268100,17.85
2016-10-20,17.80,18.10,17.66,17.95,559600,17.95
2016-10-19,17.52,17.90,17.52,17.85,225300,17.85
2016-10-18,17.39,17.57,17.02,17.47,285300,17.47
2016-10-17,17.64,17.75,17.26,17.34,283600,17.34
2016-10-14,17.60,17.73,17.52,17.64,167400,17.64
2016-10-13,17.68,17.83,17.49,17.55,375100,17.55
2016-10-12,17.45,17.77,17.45,17.68,230400,17.68
2016-10-11,17.58,17.75,17.445,17.48,209000,17.48
2016-10-10,17.84,17.84,17.44,17.53,220300,17.53
2016-10-07,18.00,18.06,17.63,17.84,287700,17.84
2016-10-06,18.25,18.28,17.85,17.87,260600,17.87
2016-10-05,18.30,18.38,18.05,18.14,269300,18.14
2016-10-04,17.90,18.38,17.73,18.35,297700,18.35
2016-10-03,17.86,17.90,17.61,17.73,108700,17.73
2016-09-30,17.79,17.89,17.56,17.65,168100,17.65
2016-09-29,17.80,17.99,17.68,17.87,166300,17.87
2016-09-28,17.89,18.00,17.48,17.83,402900,17.83
2016-09-27,17.80,17.99,17.52,17.88,291300,17.88
2016-09-26,17.85,17.93,17.67,17.80,139200,17.80
2016-09-23,17.64,17.93,17.57,17.86,182400,17.86
2016-09-22,17.70,17.79,17.47,17.57,215100,17.57
2016-09-21,17.44,17.70,17.41,17.55,268500,17.55
2016-09-20,17.40,17.70,17.32,17.58,251700,17.58
2016-09-19,17.70,17.73,17.36,17.56,91300,17.56
2016-09-16,17.22,17.77,17.22,17.68,348700,17.68
2016-09-15,17.58,17.58,17.12,17.18,354000,17.18
2016-09-14,17.60,17.67,17.48,17.66,245500,17.66
2016-09-13,17.69,17.97,17.54,17.61,288500,17.61
