Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,0.013,0.013,0.013,0.013,000,0.013
2016-11-21,0.013,0.013,0.013,0.013,000,0.013
2016-11-18,0.013,0.013,0.013,0.013,000,0.013
2016-11-17,0.013,0.013,0.013,0.013,000,0.013
2016-11-16,0.013,0.013,0.013,0.013,1000000,0.013
2016-11-15,0.013,0.013,0.013,0.013,000,0.013
2016-11-14,0.013,0.013,0.013,0.013,000,0.013
2016-11-11,0.013,0.013,0.013,0.013,000,0.013
2016-11-10,0.013,0.013,0.013,0.013,000,0.013
2016-11-09,0.013,0.013,0.013,0.013,000,0.013
2016-11-08,0.013,0.013,0.013,0.013,000,0.013
2016-11-07,0.013,0.013,0.013,0.013,000,0.013
2016-11-04,0.013,0.013,0.013,0.013,000,0.013
2016-11-03,0.012,0.013,0.012,0.013,216200,0.013
2016-11-02,0.014,0.014,0.014,0.014,000,0.014
2016-11-01,0.014,0.014,0.014,0.014,000,0.014
2016-10-31,0.014,0.014,0.014,0.014,000,0.014
2016-10-28,0.014,0.014,0.014,0.014,000,0.014
2016-10-27,0.014,0.014,0.014,0.014,000,0.014
2016-10-26,0.014,0.014,0.014,0.014,41900,0.014
2016-10-25,0.015,0.015,0.015,0.015,000,0.015
2016-10-24,0.015,0.015,0.015,0.015,000,0.015
2016-10-21,0.015,0.015,0.015,0.015,000,0.015
2016-10-20,0.015,0.015,0.015,0.015,000,0.015
2016-10-19,0.015,0.015,0.015,0.015,000,0.015
2016-10-18,0.015,0.015,0.015,0.015,000,0.015
2016-10-17,0.015,0.015,0.015,0.015,000,0.015
2016-10-14,0.015,0.015,0.015,0.015,000,0.015
2016-10-13,0.015,0.015,0.015,0.015,000,0.015
2016-10-12,0.015,0.015,0.015,0.015,000,0.015
2016-10-11,0.015,0.015,0.015,0.015,000,0.015
2016-10-10,0.015,0.015,0.015,0.015,000,0.015
2016-10-07,0.015,0.015,0.015,0.015,114600,0.015
