Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,2.18,2.24,2.18,2.22,636000,2.22
2016-11-21,2.19,2.19,2.145,2.17,538900,2.17
2016-11-18,2.18,2.20,2.16,2.19,571100,2.19
2016-11-17,2.19,2.20,2.145,2.18,1065400,2.18
2016-11-16,2.29,2.31,2.19,2.22,1095100,2.22
2016-11-15,2.28,2.34,2.26,2.30,1327800,2.30
2016-11-14,2.24,2.27,2.22,2.26,877600,2.26
2016-11-11,2.19,2.24,2.18,2.24,661500,2.24
2016-11-10,2.16,2.20,2.14,2.17,1199200,2.17
2016-11-09,2.12,2.14,1.95,2.05,2110600,2.05
2016-11-08,2.12,2.14,2.10,2.11,801900,2.11
2016-11-07,2.17,2.18,2.09,2.10,1387200,2.10
2016-11-04,2.14,2.18,2.12,2.17,732700,2.17
2016-11-03,2.17,2.17,2.12,2.14,679900,2.14
2016-11-02,2.23,2.24,2.18,2.18,1110700,2.18
2016-11-01,2.24,2.26,2.23,2.25,759400,2.25
2016-10-31,2.25,2.26,2.23,2.25,608200,2.25
2016-10-28,2.25,2.27,2.22,2.26,714400,2.26
2016-10-27,2.25,2.26,2.23,2.25,971600,2.25
2016-10-26,2.24,2.27,2.20,2.25,947400,2.25
2016-10-25,2.27,2.285,2.25,2.27,972700,2.27
2016-10-24,2.30,2.32,2.25,2.25,1552700,2.25
2016-10-21,2.27,2.325,2.27,2.30,467900,2.30
2016-10-20,2.25,2.29,2.215,2.27,628200,2.27
2016-10-19,2.26,2.285,2.22,2.25,1058300,2.25
2016-10-18,2.27,2.28,2.22,2.26,993900,2.26
2016-10-17,2.29,2.31,2.24,2.26,514700,2.26
2016-10-14,2.31,2.315,2.28,2.29,406200,2.29
2016-10-13,2.34,2.36,2.24,2.29,935900,2.29
2016-10-12,2.36,2.37,2.31,2.34,648900,2.34
2016-10-11,2.39,2.39,2.33,2.35,788200,2.35
2016-10-10,2.39,2.43,2.38,2.39,477100,2.39
2016-10-07,2.41,2.43,2.37,2.38,637400,2.38
2016-10-06,2.40,2.42,2.39,2.42,997300,2.42
2016-10-05,2.47,2.47,2.37,2.40,1554500,2.40
2016-10-04,2.35,2.49,2.35,2.49,2595600,2.49
2016-10-03,2.33,2.40,2.31,2.35,785400,2.35
2016-09-30,2.33,2.35,2.27,2.32,1201000,2.32
2016-09-29,2.32,2.37,2.30,2.37,1111800,2.37
2016-09-28,2.29,2.34,2.28,2.30,647700,2.30
2016-09-27,2.31,2.31,2.26,2.30,668700,2.30
2016-09-26,2.30,2.36,2.29,2.32,695000,2.32
2016-09-23,2.25,2.33,2.25,2.33,1484700,2.33
2016-09-22,2.22,2.25,2.20,2.23,1374600,2.23
2016-09-21,2.24,2.25,2.19,2.22,795700,2.22
