Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,0.039,0.04,0.039,0.039,1578400,0.039
2016-11-21,0.039,0.04,0.039,0.04,690200,0.04
2016-11-18,0.041,0.041,0.039,0.04,1198600,0.04
2016-11-17,0.04,0.042,0.04,0.041,2156300,0.041
2016-11-16,0.039,0.041,0.039,0.041,2200500,0.041
2016-11-15,0.039,0.04,0.038,0.038,584200,0.038
2016-11-14,0.038,0.04,0.038,0.04,1875100,0.04
2016-11-11,0.041,0.041,0.038,0.038,1524400,0.038
2016-11-10,0.038,0.04,0.038,0.039,999700,0.039
2016-11-09,0.041,0.041,0.037,0.037,5032300,0.037
2016-11-08,0.039,0.043,0.039,0.04,3753100,0.04
2016-11-07,0.038,0.039,0.038,0.039,1148900,0.039
2016-11-04,0.038,0.04,0.038,0.039,2925100,0.039
2016-11-03,0.037,0.038,0.037,0.038,2003000,0.038
2016-11-02,0.036,0.037,0.036,0.036,1075000,0.036
2016-11-01,0.037,0.037,0.036,0.036,1800000,0.036
2016-10-31,0.037,0.037,0.036,0.037,2159400,0.037
2016-10-28,0.036,0.0365,0.036,0.036,2716700,0.036
2016-10-27,0.036,0.037,0.035,0.036,4200300,0.036
2016-10-26,0.038,0.038,0.036,0.036,812600,0.036
2016-10-25,0.037,0.038,0.036,0.038,1421400,0.038
2016-10-24,0.038,0.038,0.037,0.037,2501300,0.037
2016-10-21,0.038,0.039,0.037,0.038,1390300,0.038
2016-10-20,0.039,0.039,0.038,0.038,1243100,0.038
2016-10-19,0.038,0.04,0.038,0.039,4621000,0.039
2016-10-18,0.039,0.039,0.037,0.037,2063700,0.037
2016-10-17,0.037,0.038,0.036,0.038,3382500,0.038
2016-10-14,0.035,0.036,0.034,0.036,2079100,0.036
2016-10-13,0.034,0.04,0.034,0.034,15121000,0.034
2016-10-12,0.03,0.032,0.03,0.032,5941900,0.032
2016-10-11,0.028,0.0305,0.028,0.03,5746900,0.03
2016-10-10,0.031,0.031,0.028,0.028,6293500,0.028
2016-10-07,0.031,0.031,0.031,0.031,37000,0.031
2016-10-06,0.03,0.031,0.028,0.03,4380700,0.03
2016-10-05,0.031,0.032,0.03,0.03,1222900,0.03
2016-10-04,0.032,0.033,0.032,0.032,1144900,0.032
2016-10-03,0.033,0.033,0.032,0.033,621400,0.033
2016-09-30,0.032,0.033,0.032,0.033,2151000,0.033
2016-09-29,0.032,0.032,0.031,0.031,1519600,0.031
2016-09-28,0.032,0.032,0.031,0.032,772300,0.032
2016-09-27,0.031,0.032,0.031,0.032,677800,0.032
2016-09-26,0.033,0.033,0.031,0.032,502800,0.032
2016-09-23,0.032,0.033,0.032,0.033,139700,0.033
2016-09-22,0.032,0.032,0.031,0.032,175900,0.032
2016-09-21,0.03,0.032,0.03,0.032,699100,0.032
2016-09-20,0.034,0.035,0.029,0.031,1891100,0.031
2016-09-19,0.032,0.033,0.031,0.033,351000,0.033
2016-09-16,0.031,0.032,0.031,0.032,264600,0.032
2016-09-15,0.032,0.032,0.03,0.03,137400,0.03
2016-09-14,0.029,0.03,0.029,0.03,967000,0.03
2016-09-13,0.032,0.032,0.027,0.028,5352500,0.028
2016-09-12,0.034,0.034,0.032,0.032,247700,0.032
2016-09-09,0.032,0.034,0.031,0.034,760200,0.034
2016-09-08,0.037,0.037,0.031,0.032,1901400,0.032
2016-09-07,0.037,0.037,0.036,0.036,795100,0.036
2016-09-06,0.038,0.038,0.037,0.037,171900,0.037
2016-09-05,0.04,0.04,0.037,0.04,948100,0.04
2016-09-02,0.042,0.042,0.038,0.04,884000,0.04
2016-09-01,0.03313,0.03556,0.03232,0.03556,3521600,0.03556
2016-08-31,0.04,0.047,0.04,0.04,7164900,0.04
2016-08-30,0.051,0.051,0.036,0.04,10776500,0.04
2016-08-29,0.068,0.068,0.068,0.068,000,0.068
2016-08-26,0.068,0.068,0.068,0.068,000,0.068
2016-08-25,0.07,0.07,0.068,0.068,175200,0.068
2016-08-24,0.071,0.071,0.069,0.07,297300,0.07
2016-08-23,0.068,0.071,0.068,0.068,102400,0.068
2016-08-22,0.07,0.071,0.068,0.068,404900,0.068
2016-08-19,0.07,0.071,0.07,0.071,3176200,0.071
2016-08-18,0.072,0.073,0.071,0.071,110600,0.071
2016-08-17,0.073,0.074,0.073,0.074,383300,0.074
2016-08-16,0.072,0.072,0.067,0.069,695100,0.069
2016-08-15,0.077,0.077,0.073,0.073,490300,0.073
2016-08-12,0.074,0.077,0.073,0.077,1192600,0.077
