Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,2.18,2.25,2.17,2.25,80100,2.25
2016-11-21,2.19,2.19,2.15,2.18,39200,2.18
2016-11-18,2.18,2.20,2.16,2.18,84500,2.18
2016-11-17,2.19,2.22,2.17,2.17,29600,2.17
2016-11-16,2.22,2.22,2.18,2.20,47500,2.20
2016-11-15,2.26,2.26,2.17,2.18,25000,2.18
2016-11-14,2.19,2.26,2.19,2.26,16900,2.26
2016-11-11,2.25,2.25,2.17,2.23,45500,2.23
2016-11-10,2.20,2.29,2.18,2.23,50200,2.23
2016-11-09,2.27,2.28,2.14,2.14,154300,2.14
2016-11-08,2.29,2.29,2.28,2.28,24600,2.28
2016-11-07,2.26,2.29,2.26,2.26,18200,2.26
2016-11-04,2.28,2.32,2.26,2.27,38500,2.27
2016-11-03,2.26,2.31,2.25,2.27,14600,2.27
2016-11-02,2.31,2.31,2.25,2.25,181000,2.25
2016-11-01,2.32,2.32,2.30,2.31,23500,2.31
2016-10-31,2.30,2.31,2.29,2.31,93900,2.31
2016-10-28,2.32,2.34,2.30,2.30,37700,2.30
2016-10-27,2.30,2.32,2.30,2.32,48500,2.32
2016-10-26,2.315,2.34,2.31,2.32,37500,2.32
2016-10-25,2.32,2.35,2.31,2.33,106400,2.33
2016-10-24,2.34,2.34,2.30,2.32,44900,2.32
2016-10-21,2.32,2.36,2.32,2.35,49900,2.35
2016-10-20,2.325,2.34,2.315,2.33,55600,2.33
2016-10-19,2.30,2.32,2.30,2.31,57500,2.31
2016-10-18,2.33,2.34,2.30,2.30,103700,2.30
2016-10-17,2.31,2.33,2.31,2.33,30300,2.33
2016-10-14,2.31,2.34,2.31,2.31,14300,2.31
2016-10-13,2.31,2.34,2.30,2.31,17700,2.31
2016-10-12,2.30,2.31,2.30,2.31,46800,2.31
2016-10-11,2.30,2.31,2.30,2.30,28300,2.30
2016-10-10,2.30,2.31,2.30,2.30,56300,2.30
2016-10-07,2.30,2.35,2.26,2.30,68900,2.30
2016-10-06,2.32,2.35,2.30,2.30,18800,2.30
2016-10-05,2.34,2.34,2.32,2.32,10100,2.32
2016-10-04,2.33,2.35,2.32,2.35,13500,2.35
2016-10-03,2.30,2.35,2.26,2.32,21300,2.32
2016-09-30,2.31,2.32,2.26,2.30,91200,2.30
2016-09-29,2.33,2.33,2.30,2.31,39400,2.31
2016-09-28,2.29,2.33,2.26,2.33,47100,2.33
2016-09-27,2.35,2.35,2.27,2.31,48300,2.31
2016-09-26,2.36,2.36,2.26,2.30,81100,2.30
2016-09-23,2.35,2.35,2.25,2.32,50100,2.32
2016-09-22,2.31,2.36,2.30,2.33,17500,2.33
2016-09-21,2.31,2.31,2.27,2.30,63700,2.30
2016-09-20,2.40,2.40,2.30,2.31,41100,2.31
2016-09-19,2.39,2.40,2.35,2.40,12200,2.40
2016-09-16,2.28,2.40,2.28,2.40,153100,2.40
2016-09-15,2.25,2.28,2.25,2.27,85400,2.27
2016-09-14,2.25,2.27,2.245,2.25,30200,2.25
2016-09-13,2.28,2.30,2.25,2.27,60000,2.27
2016-09-12,2.25,2.30,2.21,2.27,78100,2.27
2016-09-09,2.31,2.35,2.21,2.27,99100,2.27
2016-09-08,2.36,2.38,2.36,2.36,67500,2.316
2016-09-07,2.36,2.38,2.35,2.36,90400,2.316
2016-09-06,2.38,2.38,2.36,2.36,77000,2.316
2016-09-05,2.36,2.38,2.36,2.38,74800,2.336
2016-09-02,2.37,2.39,2.36,2.36,55500,2.316
2016-09-01,2.39,2.40,2.36,2.40,74800,2.355
2016-08-31,2.48,2.48,2.37,2.39,68600,2.345
2016-08-30,2.38,2.49,2.36,2.49,139700,2.444
2016-08-29,2.40,2.40,2.37,2.38,12500,2.336
2016-08-26,2.36,2.40,2.36,2.40,74500,2.355
2016-08-25,2.36,2.39,2.36,2.36,141400,2.316
2016-08-24,2.32,2.37,2.32,2.36,173400,2.316
2016-08-23,2.25,2.35,2.22,2.35,354700,2.306
2016-08-22,2.34,2.34,2.25,2.25,200500,2.208
2016-08-19,2.36,2.45,2.34,2.34,312900,2.296
2016-08-18,2.39,2.39,2.34,2.36,48700,2.316
2016-08-17,2.36,2.39,2.32,2.38,54300,2.336
2016-08-16,2.375,2.38,2.34,2.34,50700,2.296
2016-08-15,2.34,2.38,2.31,2.38,80400,2.336
2016-08-12,2.36,2.38,2.23,2.27,94600,2.228
2016-08-11,2.45,2.45,2.34,2.37,137000,2.326
