Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,4.95,4.95,4.85,4.90,46500,4.90
2016-11-21,4.90,4.98,4.90,4.98,46200,4.98
2016-11-18,4.87,4.95,4.86,4.91,34000,4.91
2016-11-17,4.80,4.89,4.76,4.89,22000,4.89
2016-11-16,4.83,4.95,4.74,4.95,58800,4.95
2016-11-15,4.78,4.88,4.77,4.87,32700,4.87
2016-11-14,4.71,4.79,4.71,4.78,15300,4.78
2016-11-11,4.93,4.93,4.66,4.69,60800,4.69
2016-11-10,4.75,4.95,4.75,4.93,42600,4.93
2016-11-09,4.83,4.85,4.66,4.66,85000,4.66
2016-11-08,4.80,4.89,4.80,4.82,224100,4.82
2016-11-07,4.77,4.90,4.77,4.80,48200,4.80
2016-11-04,4.77,4.83,4.74,4.80,40000,4.80
2016-11-03,4.68,4.77,4.68,4.73,47200,4.73
2016-11-02,5.00,5.00,4.65,4.80,113300,4.80
2016-11-01,4.99,5.03,4.96,5.03,54200,5.03
2016-10-31,4.91,4.99,4.85,4.99,64700,4.99
2016-10-28,4.91,4.94,4.85,4.92,74800,4.92
2016-10-27,4.70,4.91,4.70,4.89,69500,4.89
2016-10-26,4.77,4.78,4.64,4.70,151600,4.70
2016-10-25,4.80,4.80,4.755,4.78,80100,4.78
2016-10-24,4.80,4.84,4.73,4.80,30800,4.80
2016-10-21,4.80,4.80,4.76,4.80,27200,4.80
2016-10-20,4.80,4.84,4.78,4.80,48800,4.80
2016-10-19,4.75,4.84,4.75,4.80,150000,4.80
2016-10-18,4.74,4.82,4.72,4.74,35500,4.74
2016-10-17,4.78,4.80,4.72,4.75,123500,4.75
2016-10-14,4.83,4.83,4.73,4.80,21100,4.80
2016-10-13,4.80,4.85,4.77,4.82,20000,4.82
2016-10-12,4.73,4.83,4.73,4.83,20400,4.83
2016-10-11,4.83,4.83,4.71,4.75,125600,4.75
2016-10-10,4.90,4.91,4.75,4.83,44500,4.83
2016-10-07,4.89,4.90,4.84,4.90,46900,4.90
2016-10-06,4.90,4.90,4.80,4.85,33100,4.85
2016-10-05,4.75,4.90,4.71,4.90,112900,4.90
2016-10-04,4.65,4.73,4.64,4.72,59300,4.72
2016-10-03,4.65,4.73,4.62,4.65,74600,4.65
2016-09-30,4.59,4.64,4.56,4.64,44400,4.64
2016-09-29,4.53,4.61,4.53,4.59,78600,4.59
2016-09-28,4.55,4.59,4.53,4.53,39300,4.53
2016-09-27,4.53,4.59,4.51,4.55,29200,4.55
2016-09-26,4.55,4.57,4.51,4.51,41500,4.51
2016-09-23,4.48,4.58,4.48,4.55,61800,4.55
2016-09-22,4.55,4.58,4.41,4.45,118700,4.45
2016-09-21,4.60,4.61,4.57,4.60,76600,4.60
2016-09-20,4.69,4.69,4.58,4.63,57200,4.63
2016-09-19,4.71,4.73,4.65,4.69,95100,4.69
2016-09-16,4.38,4.57,4.38,4.54,146500,4.54
2016-09-15,4.25,4.35,4.22,4.35,41300,4.35
2016-09-14,4.20,4.24,4.16,4.21,57100,4.21
2016-09-13,4.13,4.20,4.11,4.16,115800,4.16
2016-09-12,4.17,4.18,4.12,4.13,37200,4.13
2016-09-09,4.27,4.27,4.17,4.20,81300,4.20
2016-09-08,4.31,4.33,4.21,4.29,51100,4.29
2016-09-07,4.35,4.35,4.30,4.34,11500,4.34
2016-09-06,4.34,4.35,4.33,4.35,50300,4.35
2016-09-05,4.28,4.35,4.28,4.35,31400,4.35
2016-09-02,4.28,4.30,4.20,4.28,32500,4.28
2016-09-01,4.30,4.35,4.30,4.35,58100,4.30
2016-08-31,4.35,4.38,4.32,4.35,36800,4.30
2016-08-30,4.37,4.38,4.31,4.35,30800,4.30
2016-08-29,4.38,4.39,4.32,4.35,57000,4.30
2016-08-26,4.34,4.39,4.32,4.39,43300,4.34
2016-08-25,4.39,4.40,4.32,4.34,76200,4.29
2016-08-24,4.18,4.40,4.18,4.40,134200,4.349
2016-08-23,4.10,4.20,4.10,4.19,83800,4.142
2016-08-22,4.10,4.205,4.10,4.19,223500,4.142
2016-08-19,4.04,4.10,4.02,4.10,234400,4.053
2016-08-18,4.08,4.08,4.02,4.04,84100,3.994
2016-08-17,4.08,4.10,4.05,4.05,50800,4.003
2016-08-16,4.13,4.18,4.03,4.03,257800,3.984
2016-08-15,4.05,4.08,4.03,4.08,120700,4.033
2016-08-12,4.06,4.08,4.03,4.03,31600,3.984
2016-08-11,4.08,4.08,3.98,4.02,50000,3.974
2016-08-10,4.01,4.07,4.01,4.05,15800,4.003
2016-08-09,4.05,4.08,4.01,4.01,14300,3.964
2016-08-08,4.05,4.09,4.05,4.07,20300,4.023
2016-08-05,4.05,4.05,4.00,4.00,10200,3.954
2016-08-04,3.98,4.04,3.94,4.04,48400,3.994
2016-08-03,4.00,4.00,3.94,3.98,27500,3.934
2016-08-02,4.10,4.10,3.98,3.98,62400,3.934
2016-08-01,4.06,4.10,4.06,4.08,23000,4.033
2016-07-29,3.97,4.06,3.95,4.06,32300,4.013
2016-07-28,3.98,3.98,3.94,3.96,41900,3.914
2016-07-27,4.04,4.06,3.96,3.96,39700,3.914
2016-07-26,4.04,4.07,4.00,4.03,24000,3.984
2016-07-25,4.13,4.13,4.05,4.07,37300,4.023
2016-07-22,3.98,4.10,3.95,4.10,1069000,4.053
2016-07-21,3.98,3.98,3.92,3.98,19900,3.934
2016-07-20,3.95,3.98,3.95,3.98,37100,3.934
2016-07-19,3.99,3.99,3.90,3.95,60700,3.905
2016-07-18,3.99,3.99,3.97,3.99,40600,3.944
2016-07-15,3.99,3.99,3.96,3.98,70800,3.934
2016-07-14,3.96,4.00,3.96,3.99,47600,3.944
2016-07-13,3.96,3.96,3.96,3.96,900,3.914
2016-07-12,4.00,4.00,3.88,3.88,70100,3.835
2016-07-11,3.95,4.00,3.91,3.95,49400,3.905
2016-07-08,3.95,3.95,3.93,3.94,1500,3.895
2016-07-07,3.95,4.00,3.90,3.93,36600,3.885
2016-07-06,3.90,4.00,3.90,3.95,420600,3.905
2016-07-05,4.00,4.00,3.96,3.96,11900,3.914
2016-07-04,3.98,4.00,3.98,4.00,6100,3.954
2016-07-01,3.98,4.00,3.98,3.98,23100,3.934
2016-06-30,4.00,4.03,3.90,4.00,46500,3.954
2016-06-29,3.97,4.00,3.95,3.99,44100,3.944
2016-06-28,3.96,3.96,3.90,3.94,27900,3.895
2016-06-27,3.81,3.99,3.80,3.97,31800,3.924
2016-06-24,3.97,3.97,3.81,3.81,88600,3.766
2016-06-23,3.97,3.99,3.95,3.95,7600,3.905
2016-06-22,4.00,4.02,3.97,3.97,67500,3.924
2016-06-21,4.00,4.00,3.99,3.99,52700,3.944
2016-06-20,4.05,4.05,3.99,3.99,60000,3.944
2016-06-17,4.03,4.03,3.97,3.97,64900,3.924
2016-06-16,4.10,4.10,4.00,4.02,38100,3.974
2016-06-15,4.05,4.10,4.01,4.10,27400,4.053
2016-06-14,4.20,4.20,4.10,4.12,205000,4.073
2016-06-13,4.16,4.16,4.16,4.16,000,4.112
2016-06-10,4.16,4.20,4.16,4.16,29600,4.112
2016-06-09,4.24,4.24,4.15,4.16,28000,4.112
2016-06-08,4.25,4.28,4.17,4.24,49900,4.191
2016-06-07,4.14,4.39,4.11,4.32,92300,4.27
2016-06-06,3.97,4.12,3.97,4.08,118400,4.033
2016-06-03,3.94,3.95,3.88,3.95,1128200,3.905
2016-06-02,3.89,3.93,3.86,3.88,39600,3.835
2016-06-01,3.88,3.92,3.88,3.92,15200,3.875
2016-05-31,3.93,3.93,3.89,3.90,17700,3.855
2016-05-30,3.89,3.93,3.88,3.93,23500,3.885
2016-05-27,3.91,3.91,3.88,3.88,22700,3.835
2016-05-26,3.90,3.91,3.90,3.90,22600,3.855
2016-05-25,3.92,3.94,3.87,3.91,28800,3.865
2016-05-24,3.92,3.93,3.87,3.91,17600,3.865
2016-05-23,3.93,3.93,3.81,3.92,31800,3.875
2016-05-20,3.85,3.90,3.85,3.90,144000,3.855
2016-05-19,3.95,3.95,3.85,3.85,5100,3.806
2016-05-18,3.82,3.95,3.81,3.95,34100,3.905
2016-05-17,3.85,3.89,3.80,3.89,10900,3.845
2016-05-16,3.86,3.87,3.82,3.83,44500,3.786
2016-05-13,3.83,3.87,3.80,3.86,34600,3.816
2016-05-12,3.82,3.82,3.82,3.82,8400,3.776
2016-05-11,3.81,3.85,3.81,3.82,13600,3.776
2016-05-10,3.95,3.95,3.81,3.88,4100,3.835
2016-05-09,3.81,3.95,3.81,3.95,22300,3.905
2016-05-06,3.80,3.94,3.80,3.94,36600,3.895
2016-05-05,3.84,3.85,3.80,3.82,32400,3.776
2016-05-04,3.85,3.87,3.81,3.87,49700,3.826
2016-05-03,3.98,3.99,3.85,3.86,41800,3.816
2016-05-02,3.95,3.99,3.85,3.98,49500,3.934
