Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,83.50,84.16,83.50,83.88,784700,83.88
2016-11-21,82.99,83.785,82.33,83.46,905400,83.46
2016-11-18,82.95,83.93,82.92,83.71,1141200,83.71
2016-11-17,81.45,83.00,81.45,82.85,1339700,82.85
2016-11-16,82.75,82.92,82.05,82.30,1139900,82.30
2016-11-15,81.50,82.75,81.34,82.27,1429000,82.27
2016-11-14,81.85,82.08,81.29,81.81,1340100,81.81
2016-11-11,80.40,82.085,80.00,81.97,2353200,81.97
2016-11-10,78.93,80.53,78.54,80.28,3437100,80.28
2016-11-09,78.01,78.78,71.74,74.10,2526700,74.10
2016-11-08,77.62,79.20,77.02,77.39,1648600,77.39
2016-11-07,77.99,79.54,77.67,79.38,1480100,77.1136
2016-11-04,77.10,78.25,77.05,77.10,1255000,74.89869
2016-11-03,77.15,77.99,76.81,77.54,883500,75.32613
2016-11-02,78.50,78.85,77.51,77.80,1327000,75.57871
2016-11-01,79.31,79.50,78.76,79.31,698500,77.0456
2016-10-31,81.50,81.98,79.11,79.80,1708000,77.52161
2016-10-28,80.40,83.285,80.39,81.76,2579500,79.42565
2016-10-27,80.73,81.53,80.26,80.40,850900,78.10448
2016-10-26,82.05,82.46,80.69,81.05,1205600,78.73592
2016-10-25,83.20,83.34,82.39,82.81,759100,80.44567
2016-10-24,82.33,83.28,81.855,82.65,966200,80.29024
2016-10-21,82.66,82.93,81.80,82.21,518600,79.8628
2016-10-20,83.14,83.28,82.24,82.51,590100,80.15424
2016-10-19,82.50,83.47,82.38,82.55,693600,80.19309
2016-10-18,82.07,82.59,81.52,81.93,866800,79.59079
2016-10-17,81.90,82.565,81.55,81.55,683000,79.22165
2016-10-14,82.00,82.45,81.36,81.95,704800,79.61022
2016-10-13,83.34,83.48,81.72,81.94,1051100,79.60051
2016-10-12,82.93,83.80,82.38,83.67,870200,81.28111
2016-10-11,83.65,84.05,83.23,83.45,669300,81.06739
2016-10-10,83.94,84.19,83.66,83.93,369700,81.53369
2016-10-07,83.85,83.95,83.10,83.71,773600,81.31997
2016-10-06,82.98,83.88,82.805,83.40,1150200,81.01882
2016-10-05,82.55,83.25,82.12,82.25,624900,79.90166
2016-10-04,81.80,82.85,81.80,82.66,640600,80.29995
2016-10-03,82.10,82.93,82.10,82.28,628500,79.9308
2016-09-30,81.95,82.66,80.35,81.94,3752200,79.60051
2016-09-29,83.25,83.68,82.94,83.28,1230300,80.90225
2016-09-28,82.83,83.13,82.14,82.58,1241900,80.22224
2016-09-27,80.69,82.67,80.50,82.67,2615200,80.30966
2016-09-26,82.19,82.58,81.54,81.69,834300,79.35765
2016-09-23,81.00,82.34,80.95,82.12,1162400,79.77537
2016-09-22,82.31,82.50,80.65,80.65,1331500,78.34734
2016-09-21,80.54,82.32,80.54,82.03,878700,79.68794
2016-09-20,81.15,81.81,80.50,81.13,1214000,78.81363
2016-09-19,79.83,81.245,79.65,81.23,470800,78.91078
2016-09-16,79.24,81.56,79.22,81.39,1616800,79.06621
2016-09-15,77.99,78.77,77.72,78.68,1124000,76.43359
2016-09-14,77.61,78.87,77.52,78.28,1282700,76.045
2016-09-13,78.78,78.85,77.75,77.75,1320000,75.53014
2016-09-12,78.03,78.99,76.82,77.40,1902300,75.19013
