Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,28.59,28.68,28.50,28.50,3636400,28.50
2016-11-21,28.41,28.58,28.31,28.45,3564800,28.45
2016-11-18,28.48,28.65,28.28,28.47,4570600,28.47
2016-11-17,28.10,28.465,28.02,28.35,5766900,28.35
2016-11-16,28.20,28.54,28.17,28.40,6333800,28.40
2016-11-15,27.99,28.16,27.87,28.13,6089600,28.13
2016-11-14,27.78,28.10,27.58,28.10,8476700,28.10
2016-11-11,26.90,27.82,26.88,27.80,12975300,27.80
2016-11-10,26.51,26.83,26.50,26.69,8515700,26.69
2016-11-09,26.50,26.90,25.14,25.79,11180300,25.79
2016-11-08,26.50,26.52,26.13,26.27,5621200,26.27
2016-11-07,26.05,26.48,26.04,26.27,6679000,26.27
2016-11-04,26.35,26.40,25.84,25.88,10042300,25.88
2016-11-03,27.39,27.68,27.37,27.53,6555500,26.1157
2016-11-02,27.69,27.75,27.33,27.50,6971300,26.08724
2016-11-01,28.00,28.15,27.755,27.89,4105100,26.4572
2016-10-31,28.00,28.095,27.76,28.00,4998500,26.56155
2016-10-28,27.83,28.00,27.67,27.91,8775600,26.47618
2016-10-27,27.97,28.10,27.56,27.59,10150400,26.17262
2016-10-26,27.70,27.76,27.31,27.46,6700300,26.04929
2016-10-25,27.72,27.91,27.68,27.80,3400900,26.37183
2016-10-24,27.70,27.73,27.51,27.63,4289200,26.21056
2016-10-21,27.80,27.98,27.65,27.74,3725100,26.31491
2016-10-20,27.93,27.97,27.71,27.75,3903200,26.3244
2016-10-19,27.79,27.89,27.71,27.79,2544200,26.36234
2016-10-18,27.62,27.845,27.52,27.70,4205100,26.27697
2016-10-17,27.79,27.92,27.54,27.57,5263200,26.15364
2016-10-14,27.90,27.93,27.72,27.76,3936100,26.33388
2016-10-13,28.10,28.14,27.815,27.94,4600500,26.50464
2016-10-12,28.11,28.22,28.07,28.16,4006500,26.71333
2016-10-11,28.40,28.46,28.255,28.28,4397300,26.82717
2016-10-10,28.28,28.37,28.17,28.29,3395100,26.83666
2016-10-07,28.25,28.25,28.02,28.17,2903300,26.72282
2016-10-06,28.20,28.24,28.07,28.14,3618200,26.69436
2016-10-05,28.02,28.18,28.00,28.06,3534400,26.61847
2016-10-04,27.97,28.13,27.78,28.13,3779000,26.68487
2016-10-03,28.00,28.16,27.93,28.08,2509700,26.63744
2016-09-30,27.82,27.96,27.77,27.87,8202000,26.43823
2016-09-29,28.25,28.26,28.01,28.14,4351200,26.69436
2016-09-28,28.09,28.18,27.87,28.01,4998900,26.57104
2016-09-27,27.85,28.03,27.62,27.98,5792100,26.54258
2016-09-26,27.91,28.14,27.86,28.04,3318200,26.5995
2016-09-23,27.73,28.08,27.67,28.00,7799200,26.56155
2016-09-22,27.52,27.75,27.52,27.52,3530100,26.10621
2016-09-21,27.24,27.50,27.09,27.48,4254200,26.06827
2016-09-20,27.04,27.15,26.945,27.12,4561900,25.72676
2016-09-19,27.00,27.08,26.91,27.08,446900,25.68882
2016-09-16,27.00,27.17,26.87,27.06,8116100,25.66984
2016-09-15,26.49,26.855,26.415,26.78,10420300,25.40423
2016-09-14,26.23,26.50,26.18,26.40,6222600,25.04375
2016-09-13,26.82,26.85,26.16,26.25,7173700,24.90146
2016-09-12,26.89,27.01,26.53,26.60,6858400,25.23348
2016-09-09,27.47,27.49,27.195,27.30,4304200,25.89751
2016-09-08,27.69,27.79,27.52,27.67,4727500,26.24851
2016-09-07,27.75,27.88,27.61,27.80,4413300,26.37183
2016-09-06,27.55,27.74,27.49,27.70,3360600,26.27697
2016-09-05,27.22,27.62,27.22,27.62,3555800,26.20108
2016-09-02,27.40,27.43,27.00,27.14,4431000,25.74573
2016-09-01,27.34,27.58,27.25,27.43,3805000,26.02084
2016-08-31,27.40,27.48,27.17,27.34,8047800,25.93546
2016-08-30,27.46,27.52,27.24,27.24,4389300,25.8406
2016-08-29,27.40,27.48,27.09,27.19,3531900,25.79317
2016-08-26,27.50,27.67,27.43,27.46,5694900,26.04929
2016-08-25,27.78,27.87,27.64,27.68,3953700,26.25799
2016-08-24,27.64,28.00,27.64,27.89,5273800,26.4572
2016-08-23,27.40,27.64,27.235,27.59,4351200,26.17262
2016-08-22,27.20,27.39,27.19,27.29,3074500,25.88803
2016-08-19,27.10,27.43,26.93,27.30,4496100,25.89751
2016-08-18,27.67,27.67,27.16,27.27,4965800,25.86906
2016-08-17,27.21,27.51,26.99,27.45,5703400,26.03981
