Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,4.88,5.05,4.79,4.89,791200,4.89
2016-11-21,4.82,4.99,4.78,4.90,470900,4.90
2016-11-18,4.85,4.88,4.78,4.85,276000,4.85
2016-11-17,4.79,4.90,4.77,4.83,309800,4.83
2016-11-16,4.78,4.82,4.72,4.80,469800,4.80
2016-11-15,4.85,4.85,4.73,4.80,606200,4.80
2016-11-14,4.80,4.855,4.63,4.80,419700,4.80
2016-11-11,4.72,4.90,4.72,4.89,375900,4.89
2016-11-10,4.71,4.77,4.60,4.77,384100,4.77
2016-11-09,4.60,4.77,4.45,4.53,451900,4.53
2016-11-08,4.68,4.69,4.59,4.64,658100,4.64
2016-11-07,4.63,4.73,4.60,4.69,212700,4.69
2016-11-04,4.60,4.665,4.59,4.64,149200,4.64
2016-11-03,4.62,4.675,4.58,4.63,443700,4.63
2016-11-02,4.73,4.76,4.56,4.62,421400,4.62
2016-11-01,4.72,4.82,4.69,4.76,142800,4.76
2016-10-31,4.76,4.845,4.55,4.82,223200,4.82
2016-10-28,4.80,4.80,4.64,4.78,244100,4.78
2016-10-27,4.95,4.96,4.76,4.84,468300,4.84
2016-10-26,4.80,4.95,4.77,4.95,434000,4.95
2016-10-25,4.71,4.80,4.66,4.80,250200,4.80
2016-10-24,4.60,4.70,4.56,4.69,258200,4.69
2016-10-21,4.66,4.74,4.60,4.61,145700,4.61
2016-10-20,4.69,4.77,4.64,4.70,143000,4.70
2016-10-19,4.70,4.74,4.57,4.70,374100,4.70
2016-10-18,4.72,4.76,4.69,4.71,234200,4.71
2016-10-17,4.81,4.83,4.72,4.76,472800,4.76
2016-10-14,4.81,4.84,4.75,4.79,113200,4.79
2016-10-13,4.79,4.83,4.74,4.78,205200,4.78
2016-10-12,4.76,4.815,4.75,4.79,182600,4.79
2016-10-11,4.73,4.78,4.68,4.76,690600,4.76
2016-10-10,4.72,4.80,4.72,4.78,175000,4.78
2016-10-07,4.80,4.80,4.71,4.78,232800,4.78
2016-10-06,4.86,4.89,4.78,4.80,333300,4.80
2016-10-05,4.87,4.89,4.82,4.88,187100,4.88
2016-10-04,4.70,4.87,4.64,4.87,452900,4.87
2016-10-03,4.70,4.79,4.67,4.70,131100,4.70
2016-09-30,4.79,4.82,4.68,4.68,295300,4.68
2016-09-29,4.70,4.795,4.68,4.75,387400,4.75
2016-09-28,4.56,4.70,4.56,4.68,375700,4.68
2016-09-27,4.49,4.645,4.49,4.64,388800,4.64
2016-09-26,4.64,4.70,4.47,4.59,164000,4.59
2016-09-23,4.56,4.635,4.52,4.62,1236700,4.62
2016-09-22,4.50,4.61,4.49,4.56,151000,4.56
2016-09-21,4.44,4.53,4.35,4.50,309100,4.50
2016-09-20,4.47,4.53,4.41,4.51,362100,4.51
2016-09-19,4.41,4.49,4.41,4.485,28600,4.485
2016-09-16,4.39,4.53,4.38,4.53,393200,4.53
2016-09-15,4.35,4.425,4.35,4.40,469900,4.40
2016-09-14,4.23,4.44,4.22,4.40,744100,4.40
2016-09-13,4.23,4.32,4.20,4.23,242700,4.23
