Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,1.60,1.61,1.58,1.59,2054200,1.55
2016-11-21,1.57,1.605,1.565,1.59,2325000,1.55
2016-11-18,1.52,1.56,1.495,1.55,4484500,1.511
2016-11-17,1.45,1.55,1.445,1.545,4841000,1.5061
2016-11-16,1.39,1.46,1.36,1.45,7660900,1.4135
2016-11-15,1.49,1.50,1.34,1.345,12647700,1.3112
2016-11-14,1.545,1.65,1.54,1.62,2430200,1.5792
2016-11-11,1.49,1.54,1.49,1.53,1999600,1.4915
2016-11-10,1.47,1.50,1.465,1.485,2089900,1.4476
2016-11-09,1.49,1.49,1.38,1.435,1816600,1.3989
2016-11-08,1.47,1.485,1.46,1.47,1972300,1.433
2016-11-07,1.48,1.49,1.455,1.455,1750800,1.4184
2016-11-04,1.485,1.532,1.45,1.455,2255600,1.4184
2016-11-03,1.505,1.51,1.465,1.485,1221400,1.4476
2016-11-02,1.52,1.527,1.495,1.495,1649600,1.4574
2016-11-01,1.56,1.56,1.52,1.525,874300,1.4866
2016-10-31,1.55,1.575,1.55,1.55,1659300,1.511
2016-10-28,1.55,1.565,1.532,1.54,2458800,1.5013
2016-10-27,1.635,1.635,1.54,1.55,2486200,1.511
2016-10-26,1.67,1.685,1.62,1.62,1326000,1.5792
2016-10-25,1.68,1.69,1.67,1.675,882400,1.6329
2016-10-24,1.68,1.69,1.67,1.67,621400,1.628
2016-10-21,1.675,1.705,1.675,1.68,691900,1.6377
2016-10-20,1.69,1.70,1.65,1.68,1414700,1.6377
2016-10-19,1.695,1.705,1.67,1.68,908600,1.6377
2016-10-18,1.695,1.70,1.67,1.675,1289800,1.6329
2016-10-17,1.695,1.74,1.68,1.695,1197900,1.6524
2016-10-14,1.685,1.705,1.67,1.68,2466700,1.6377
2016-10-13,1.735,1.765,1.63,1.665,5245000,1.6231
2016-10-12,1.88,1.88,1.745,1.75,4036500,1.706
2016-10-11,1.905,1.912,1.89,1.90,1418500,1.8522
2016-10-10,1.875,1.92,1.875,1.895,791700,1.8473
2016-10-07,1.90,1.90,1.865,1.865,974000,1.8181
2016-10-06,1.875,1.905,1.86,1.89,1107900,1.8425
2016-10-05,1.91,1.91,1.855,1.855,1294400,1.8083
2016-10-04,1.905,1.93,1.895,1.905,1073200,1.8571
2016-10-03,1.92,1.94,1.895,1.905,660200,1.8571
2016-09-30,1.87,1.91,1.83,1.90,1612800,1.8522
2016-09-29,1.80,1.892,1.77,1.88,2655100,1.8327
2016-09-28,1.78,1.825,1.735,1.77,4095400,1.7255
2016-09-27,1.805,1.815,1.755,1.765,3179400,1.7206
2016-09-26,1.87,1.88,1.81,1.81,2893500,1.7645
2016-09-23,1.945,1.945,1.855,1.865,3968600,1.8181
2016-09-22,2.13,2.15,1.925,1.94,7034700,1.8912
2016-09-21,2.20,2.21,2.07,2.11,2195900,2.0569
2016-09-20,2.23,2.24,2.20,2.20,684300,2.1447
2016-09-19,2.23,2.24,2.22,2.23,56700,2.1739
2016-09-16,2.25,2.27,2.22,2.24,937400,2.1836
2016-09-15,2.23,2.29,2.23,2.23,1148000,2.1739
2016-09-14,2.21,2.28,2.21,2.26,1140300,2.2031
2016-09-13,2.26,2.29,2.20,2.21,827300,2.1544
2016-09-12,2.29,2.29,2.23,2.24,631500,2.1836
2016-09-09,2.34,2.36,2.31,2.32,777800,2.2616
2016-09-08,2.33,2.35,2.33,2.34,614900,2.2811
2016-09-07,2.38,2.39,2.32,2.34,492800,2.2811
2016-09-06,2.34,2.40,2.34,2.37,333200,2.3104
2016-09-05,2.35,2.42,2.35,2.39,440300,2.3299
2016-09-02,2.41,2.42,2.33,2.35,787100,2.2909
2016-09-01,2.42,2.44,2.41,2.41,227900,2.3494
2016-08-31,2.45,2.45,2.41,2.42,662500,2.3591
2016-08-30,2.46,2.46,2.42,2.44,442500,2.3786
2016-08-29,2.48,2.48,2.43,2.44,630800,2.3786
2016-08-26,2.46,2.50,2.45,2.48,433500,2.4176
2016-08-25,2.44,2.48,2.44,2.47,388900,2.4079
2016-08-24,2.47,2.47,2.44,2.44,413900,2.3786
2016-08-23,2.46,2.49,2.44,2.46,490500,2.3981
2016-08-22,2.44,2.47,2.43,2.44,446200,2.3786
2016-08-19,2.43,2.45,2.42,2.43,372300,2.3689
2016-08-18,2.42,2.45,2.40,2.42,483400,2.3591
2016-08-17,2.43,2.43,2.40,2.42,488300,2.3591
2016-08-16,2.46,2.47,2.415,2.43,342000,2.3689
2016-08-15,2.46,2.47,2.43,2.45,322600,2.3884
2016-08-12,2.45,2.48,2.44,2.46,435300,2.3981
2016-08-11,2.41,2.45,2.40,2.44,518800,2.3786
2016-08-10,2.47,2.48,2.42,2.43,733000,2.3689
2016-08-09,2.50,2.51,2.46,2.47,917200,2.4079
2016-08-08,2.46,2.51,2.46,2.51,587200,2.4469
2016-08-05,2.43,2.47,2.42,2.44,876700,2.3786
2016-08-04,2.41,2.50,2.36,2.42,1308700,2.3591
2016-08-03,2.50,2.505,2.40,2.415,739900,2.3542
2016-08-02,2.44,2.53,2.44,2.51,919500,2.4469
