Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,1.145,1.145,1.145,1.145,000,1.145
2016-07-14,1.145,1.145,1.145,1.145,000,1.145
2016-07-13,1.145,1.145,1.145,1.145,000,1.145
2016-07-12,1.145,1.145,1.145,1.145,000,1.145
2016-07-11,1.145,1.145,1.145,1.145,000,1.145
2016-07-08,1.145,1.145,1.145,1.145,000,1.145
2016-07-07,1.145,1.145,1.145,1.145,000,1.145
2016-07-06,1.145,1.145,1.145,1.145,000,1.145
2016-07-05,1.145,1.145,1.145,1.145,000,1.145
2016-07-04,1.145,1.145,1.145,1.145,000,1.145
2016-07-01,1.145,1.145,1.145,1.145,000,1.145
2016-06-30,1.145,1.145,1.145,1.145,000,1.145
2016-06-29,1.145,1.145,1.145,1.145,000,1.145
2016-06-28,1.145,1.15,1.145,1.145,8370400,1.145
2016-06-27,1.15,1.15,1.145,1.15,3291800,1.15
2016-06-24,1.15,1.15,1.145,1.145,6133500,1.145
2016-06-23,1.145,1.15,1.145,1.145,4195500,1.145
2016-06-22,1.145,1.15,1.14,1.145,4526500,1.145
2016-06-21,1.145,1.145,1.14,1.145,1689800,1.145
2016-06-20,1.145,1.145,1.14,1.145,2700800,1.145
2016-06-17,1.14,1.145,1.14,1.14,5119900,1.14
2016-06-16,1.14,1.145,1.14,1.14,3582200,1.14
2016-06-15,1.145,1.145,1.14,1.14,1577800,1.14
2016-06-14,1.14,1.15,1.14,1.14,1684300,1.14
2016-06-13,1.145,1.145,1.145,1.145,000,1.145
2016-06-10,1.145,1.15,1.14,1.145,1171600,1.145
2016-06-09,1.145,1.15,1.14,1.15,1738000,1.15
2016-06-08,1.145,1.15,1.14,1.15,2739900,1.15
2016-06-07,1.145,1.145,1.14,1.14,2612500,1.14
2016-06-06,1.14,1.145,1.14,1.14,2891300,1.14
2016-06-03,1.145,1.145,1.14,1.14,2843500,1.14
2016-06-02,1.14,1.145,1.14,1.14,1489200,1.14
2016-06-01,1.14,1.145,1.14,1.14,3680300,1.14
2016-05-31,1.14,1.145,1.14,1.14,2277900,1.14
2016-05-30,1.145,1.145,1.14,1.145,622400,1.145
2016-05-27,1.145,1.145,1.14,1.14,2350300,1.14
2016-05-26,1.145,1.145,1.137,1.145,5646100,1.145
2016-05-25,1.145,1.145,1.14,1.145,1680700,1.145
2016-05-24,1.145,1.145,1.14,1.145,3134800,1.145
2016-05-23,1.14,1.145,1.14,1.145,1409400,1.145
2016-05-20,1.14,1.145,1.14,1.14,2491200,1.14
2016-05-19,1.145,1.145,1.14,1.14,5502900,1.14
2016-05-18,1.14,1.145,1.135,1.14,4670500,1.14
2016-05-17,1.14,1.14,1.135,1.14,1843900,1.14
2016-05-16,1.14,1.14,1.135,1.135,2315900,1.135
2016-05-13,1.14,1.145,1.135,1.135,9897800,1.135
2016-05-12,1.14,1.1425,1.135,1.135,8246400,1.135
