Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,13.29,13.60,13.29,13.49,310900,13.49
2016-11-21,13.30,13.36,13.21,13.31,265700,13.31
2016-11-18,13.41,13.45,13.14,13.25,476500,13.25
2016-11-17,13.40,13.54,13.35,13.42,372700,13.42
2016-11-16,13.92,13.94,13.68,13.74,653500,13.74
2016-11-15,13.38,14.05,13.36,13.90,520200,13.90
2016-11-14,13.28,13.34,13.19,13.22,309500,13.22
2016-11-11,13.59,13.61,13.11,13.28,331500,13.28
2016-11-10,13.30,13.67,13.30,13.46,855700,13.46
2016-11-09,13.31,13.36,12.64,12.95,545700,12.95
2016-11-08,13.40,13.52,13.20,13.29,456600,13.29
2016-11-07,13.58,13.68,13.29,13.40,624800,13.40
2016-11-04,13.70,13.84,13.50,13.59,292700,13.59
2016-11-03,13.80,13.90,13.70,13.79,300300,13.79
2016-11-02,13.92,14.07,13.83,13.83,382000,13.83
2016-11-01,14.11,14.19,13.96,14.13,243400,14.13
2016-10-31,14.31,14.54,14.12,14.19,344900,14.19
2016-10-28,14.39,14.97,14.275,14.41,234100,14.41
2016-10-27,14.69,14.82,14.55,14.68,827800,14.323
2016-10-26,14.97,15.09,14.50,14.62,337000,14.264
2016-10-25,15.09,15.38,15.09,15.27,161600,14.899
2016-10-24,15.35,15.35,14.90,15.05,394100,14.684
2016-10-21,15.50,15.56,15.23,15.32,233800,14.947
2016-10-20,15.51,15.59,15.45,15.55,218000,15.172
2016-10-19,15.25,15.53,15.03,15.50,311200,15.123
2016-10-18,15.38,15.39,15.17,15.19,244000,14.82
2016-10-17,15.59,15.70,15.33,15.36,261900,14.986
2016-10-14,15.39,15.77,15.34,15.58,305700,15.201
2016-10-13,15.36,15.43,15.28,15.32,359200,14.947
2016-10-12,15.39,15.46,15.26,15.44,275400,15.064
2016-10-11,15.59,15.64,15.37,15.49,386100,15.113
2016-10-10,15.56,15.68,15.51,15.52,406900,15.142
