Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,1.41,1.45,1.41,1.43,566900,1.43
2016-11-21,1.45,1.45,1.405,1.41,441400,1.41
2016-11-18,1.43,1.445,1.41,1.44,539900,1.44
2016-11-17,1.42,1.44,1.39,1.43,287600,1.43
2016-11-16,1.425,1.445,1.39,1.425,608700,1.425
2016-11-15,1.43,1.455,1.40,1.41,373900,1.41
2016-11-14,1.445,1.455,1.43,1.43,210600,1.43
2016-11-11,1.495,1.495,1.42,1.44,652400,1.44
2016-11-10,1.49,1.51,1.425,1.47,967900,1.47
2016-11-09,1.56,1.57,1.445,1.465,741200,1.465
2016-11-08,1.50,1.55,1.50,1.55,398200,1.55
2016-11-07,1.45,1.49,1.45,1.485,347400,1.485
2016-11-04,1.50,1.50,1.44,1.46,760300,1.46
2016-11-03,1.405,1.495,1.405,1.49,417200,1.49
2016-11-02,1.47,1.475,1.38,1.42,1543500,1.42
2016-11-01,1.45,1.485,1.44,1.48,425500,1.48
2016-10-31,1.52,1.52,1.415,1.455,1303200,1.455
2016-10-28,1.53,1.57,1.50,1.55,1022200,1.55
2016-10-27,1.54,1.55,1.52,1.53,867500,1.53
2016-10-26,1.57,1.57,1.535,1.55,610100,1.55
2016-10-25,1.56,1.5675,1.55,1.56,907700,1.56
2016-10-24,1.58,1.595,1.55,1.555,601800,1.555
2016-10-21,1.57,1.625,1.565,1.59,606300,1.59
2016-10-20,1.59,1.60,1.565,1.58,491400,1.58
2016-10-19,1.61,1.61,1.575,1.585,241800,1.585
2016-10-18,1.59,1.615,1.565,1.615,478500,1.615
2016-10-17,1.565,1.61,1.56,1.59,692300,1.59
2016-10-14,1.61,1.62,1.57,1.575,360200,1.575
2016-10-13,1.63,1.64,1.60,1.60,197500,1.60
2016-10-12,1.64,1.645,1.63,1.635,433900,1.635
2016-10-11,1.64,1.65,1.62,1.64,852000,1.64
2016-10-10,1.62,1.65,1.585,1.595,348800,1.595
2016-10-07,1.625,1.655,1.62,1.64,409100,1.64
2016-10-06,1.65,1.655,1.62,1.635,210200,1.635
2016-10-05,1.65,1.655,1.63,1.645,2619800,1.645
2016-10-04,1.65,1.655,1.637,1.65,272100,1.65
2016-10-03,1.63,1.652,1.62,1.65,482600,1.65
2016-09-30,1.65,1.65,1.625,1.63,510500,1.63
2016-09-29,1.65,1.655,1.625,1.63,551400,1.63
2016-09-28,1.65,1.65,1.61,1.63,721700,1.63
