Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,6.16,6.285,6.16,6.25,444000,6.25
2016-11-21,6.09,6.19,6.09,6.14,662400,6.14
2016-11-18,6.14,6.19,6.08,6.10,779700,6.10
2016-11-17,6.12,6.19,6.06,6.12,824700,6.12
2016-11-16,6.41,6.43,6.07,6.10,1637000,6.10
2016-11-15,6.63,6.63,6.40,6.41,697500,6.41
2016-11-14,6.62,6.65,6.41,6.44,521600,6.44
2016-11-11,6.60,6.65,6.55,6.62,468000,6.62
2016-11-10,6.70,6.70,6.57,6.59,728500,6.59
2016-11-09,6.70,6.76,6.36,6.41,1033700,6.41
2016-11-08,6.44,6.67,6.43,6.59,1014900,6.59
2016-11-07,6.42,6.45,6.37,6.41,737600,6.41
2016-11-04,6.38,6.48,6.38,6.42,678500,6.42
2016-11-03,6.35,6.455,6.28,6.38,540900,6.38
2016-11-02,6.75,6.75,6.35,6.37,1108800,6.37
2016-11-01,6.80,6.80,6.70,6.76,356300,6.76
2016-10-31,6.70,6.785,6.68,6.77,453600,6.77
2016-10-28,6.80,6.83,6.67,6.70,743900,6.70
2016-10-27,6.72,6.785,6.68,6.71,592500,6.71
2016-10-26,6.85,6.91,6.70,6.72,656400,6.72
2016-10-25,6.74,6.92,6.74,6.90,510400,6.90
2016-10-24,6.78,6.81,6.72,6.77,670500,6.77
2016-10-21,6.79,6.85,6.76,6.80,589100,6.80
2016-10-20,6.99,7.00,6.76,6.78,693500,6.78
2016-10-19,6.86,7.00,6.83,6.99,803700,6.99
2016-10-18,6.87,6.93,6.83,6.83,416800,6.83
2016-10-17,7.00,7.00,6.85,6.87,550900,6.87
2016-10-14,6.85,7.01,6.85,7.00,599100,7.00
2016-10-13,7.00,7.00,6.83,6.87,480400,6.87
2016-10-12,6.91,6.95,6.85,6.95,589100,6.95
2016-10-11,6.87,6.96,6.87,6.91,644900,6.91
2016-10-10,6.88,6.985,6.87,6.89,552900,6.89
2016-10-07,6.93,6.93,6.86,6.88,1023600,6.88
2016-10-06,7.10,7.11,6.93,6.94,982600,6.94
2016-10-05,7.06,7.15,7.03,7.04,695900,7.04
2016-10-04,7.19,7.23,7.09,7.10,862100,7.10
2016-10-03,7.05,7.22,7.02,7.12,826600,7.12
2016-09-30,7.10,7.11,6.945,6.97,833300,6.97
2016-09-29,7.11,7.21,6.92,7.11,1380000,7.11
2016-09-28,7.34,7.35,7.185,7.26,1410500,7.26
2016-09-27,7.31,7.35,7.27,7.33,687000,7.33
2016-09-26,7.29,7.37,7.29,7.33,498500,7.33
2016-09-23,7.22,7.28,7.15,7.28,1068500,7.28
2016-09-22,7.07,7.20,7.07,7.20,897500,7.20
2016-09-21,6.92,7.05,6.92,7.04,624200,7.04
2016-09-20,6.99,7.00,6.87,6.90,693100,6.90
2016-09-19,7.00,7.03,6.95,6.99,145300,6.99
2016-09-16,6.90,7.07,6.89,7.00,1722300,7.00
2016-09-15,6.81,6.93,6.80,6.88,823100,6.88
2016-09-14,6.77,6.90,6.77,6.89,1012200,6.89
2016-09-13,6.66,6.81,6.65,6.77,834600,6.77
2016-09-12,6.70,6.70,6.51,6.55,824800,6.55
2016-09-09,6.78,6.88,6.65,6.78,1050300,6.78
2016-09-08,7.09,7.10,6.91,6.94,1084200,6.733
2016-09-07,6.89,7.17,6.89,7.02,1227500,6.811
2016-09-06,6.82,6.94,6.82,6.89,855800,6.684
2016-09-05,6.86,6.92,6.77,6.83,676800,6.626
