Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,7.98,8.04,7.97,8.01,1722800,8.01
2016-11-21,8.00,8.045,7.97,7.99,2197700,7.99
2016-11-18,7.92,8.02,7.89,7.99,3068600,7.99
2016-11-17,7.69,7.78,7.62,7.75,2157900,7.75
2016-11-16,7.71,7.75,7.68,7.71,1756500,7.71
2016-11-15,7.75,7.75,7.68,7.73,2851600,7.73
2016-11-14,7.92,7.95,7.80,7.88,3779700,7.88
2016-11-11,7.90,7.90,7.755,7.89,4833300,7.89
2016-11-10,7.66,7.72,7.49,7.70,3062000,7.70
2016-11-09,7.50,7.51,7.15,7.27,3619500,7.27
2016-11-08,7.54,7.56,7.49,7.55,1195100,7.55
2016-11-07,7.60,7.60,7.51,7.58,1451800,7.58
2016-11-04,7.48,7.48,7.42,7.43,2099200,7.43
2016-11-03,7.52,7.59,7.51,7.55,2926200,7.55
2016-11-02,7.62,7.62,7.50,7.52,3232600,7.52
2016-11-01,7.85,7.87,7.80,7.83,2006900,7.83
2016-10-31,7.86,7.90,7.82,7.84,2790600,7.84
2016-10-28,7.91,7.91,7.82,7.84,2244600,7.84
2016-10-27,7.98,7.98,7.86,7.94,3428200,7.94
2016-10-26,8.19,8.28,8.02,8.08,4732200,8.08
2016-10-25,8.38,8.45,8.37,8.40,1334600,8.40
2016-10-24,8.36,8.38,8.33,8.36,2014700,8.36
2016-10-21,8.36,8.39,8.32,8.37,1866800,8.37
2016-10-20,8.38,8.47,8.36,8.44,3335500,8.44
2016-10-19,8.48,8.51,8.46,8.51,2213300,8.51
2016-10-18,8.44,8.46,8.40,8.45,2687100,8.45
2016-10-17,8.51,8.53,8.43,8.43,1385900,8.43
2016-10-14,8.48,8.49,8.45,8.48,2142900,8.48
2016-10-13,8.50,8.50,8.44,8.47,1421300,8.47
2016-10-12,8.52,8.52,8.45,8.52,1552800,8.52
2016-10-11,8.59,8.66,8.59,8.61,1948500,8.61
2016-10-10,8.44,8.52,8.44,8.51,2526100,8.51
2016-10-07,8.50,8.58,8.47,8.55,2274100,8.55
2016-10-06,8.42,8.46,8.38,8.44,1479700,8.44
2016-10-05,8.42,8.42,8.37,8.38,2032100,8.38
2016-10-04,8.41,8.50,8.39,8.50,2517900,8.50
2016-10-03,8.48,8.52,8.45,8.48,730000,8.48
2016-09-30,8.45,8.53,8.45,8.48,2327000,8.48
2016-09-29,8.44,8.46,8.41,8.43,1571300,8.43
2016-09-28,8.45,8.47,8.38,8.42,2443300,8.42
2016-09-27,8.37,8.415,8.31,8.36,2377300,8.36
2016-09-26,8.34,8.39,8.31,8.38,2970200,8.38
2016-09-23,8.40,8.47,8.385,8.43,2602800,8.43
2016-09-22,8.38,8.43,8.37,8.39,2207200,8.39
