Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,9.96,10.10,9.85,9.85,132200,9.85
2016-11-21,10.13,10.20,9.70,9.98,84900,9.98
2016-11-18,9.00,10.145,8.77,9.90,1050300,9.90
2016-11-17,10.91,11.07,10.85,11.07,61000,11.07
2016-11-16,10.83,11.03,10.80,10.85,259500,10.85
2016-11-15,10.94,10.94,10.65,10.85,13400,10.85
2016-11-14,10.77,11.05,10.65,10.95,10400,10.95
2016-11-11,10.98,10.98,10.60,10.69,20300,10.69
2016-11-10,10.68,10.99,10.62,10.70,154800,10.70
2016-11-09,11.00,11.00,10.35,10.51,33300,10.51
2016-11-08,10.72,11.00,10.70,10.86,18800,10.86
2016-11-07,10.81,10.95,10.46,10.57,91500,10.57
2016-11-04,10.97,11.00,10.73,10.83,11500,10.83
2016-11-03,10.95,11.10,10.95,10.99,32800,10.99
2016-11-02,10.61,10.85,10.60,10.78,15900,10.78
2016-11-01,10.60,10.85,10.60,10.61,60300,10.61
2016-10-31,10.64,10.64,10.60,10.60,53500,10.60
2016-10-28,10.67,10.67,10.60,10.64,208100,10.64
2016-10-27,10.73,10.85,10.65,10.69,33800,10.69
2016-10-26,10.90,10.90,10.72,10.85,16700,10.85
2016-10-25,10.80,10.89,10.75,10.78,86600,10.78
2016-10-24,11.00,11.00,10.66,10.74,32600,10.74
2016-10-21,10.98,11.14,10.88,11.00,49000,11.00
2016-10-20,11.00,11.07,10.85,10.98,55700,10.98
2016-10-19,11.10,11.32,10.80,10.84,55900,10.84
2016-10-18,11.43,11.47,11.05,11.13,18800,11.13
2016-10-17,11.50,11.51,11.26,11.47,24000,11.47
2016-10-14,11.55,11.675,11.45,11.55,60100,11.55
2016-10-13,12.10,12.10,11.60,11.66,33000,11.66
2016-10-12,12.00,12.20,11.93,12.15,24500,12.15
2016-10-11,11.60,12.16,11.60,12.16,25100,12.16
2016-10-10,11.57,11.80,11.51,11.65,38900,11.65
2016-10-07,11.55,11.69,11.495,11.67,58200,11.67
2016-10-06,11.54,11.58,11.48,11.55,27100,11.55
2016-10-05,11.54,11.575,11.44,11.53,21100,11.53
2016-10-04,11.50,11.60,11.39,11.55,34300,11.55
2016-10-03,11.50,11.50,11.27,11.49,13500,11.49
2016-09-30,11.73,11.73,11.40,11.55,36100,11.55
2016-09-29,11.00,11.80,10.95,11.80,56600,11.80
2016-09-28,10.90,11.44,10.90,11.37,56800,11.37
2016-09-27,10.64,10.90,10.64,10.90,84600,10.90
2016-09-26,10.70,10.80,10.61,10.71,351100,10.71
2016-09-23,10.74,10.80,10.59,10.74,102700,10.74
2016-09-22,10.56,10.88,10.56,10.80,129100,10.80
2016-09-21,10.70,10.73,10.47,10.56,26400,10.56
2016-09-20,10.58,10.82,10.58,10.70,110000,10.70
2016-09-19,10.91,10.91,10.45,10.57,11600,10.57
2016-09-16,10.94,10.94,10.51,10.70,334900,10.70
2016-09-15,10.95,10.97,10.695,10.92,67500,10.92
2016-09-14,10.79,10.95,10.59,10.95,423200,10.95
2016-09-13,10.67,10.98,10.46,10.79,184400,10.79
2016-09-12,10.62,10.64,10.37,10.52,30100,10.52
2016-09-09,10.75,10.75,10.61,10.67,15100,10.67
2016-09-08,10.66,10.76,10.65,10.75,11900,10.75
2016-09-07,10.60,10.77,10.56,10.61,24600,10.61
2016-09-06,10.60,10.73,10.48,10.59,33000,10.59
2016-09-05,10.65,10.75,10.50,10.69,23000,10.69
2016-09-02,10.28,10.67,10.18,10.67,49800,10.67
2016-09-01,10.37,10.53,10.33,10.45,125500,10.0929
2016-08-31,10.48,10.50,10.31,10.37,39200,10.01563
2016-08-30,10.50,10.52,10.42,10.43,51200,10.07358
2016-08-29,10.50,10.54,10.42,10.49,71700,10.13153
2016-08-26,10.50,10.55,10.41,10.50,43100,10.14119
2016-08-25,10.32,10.50,10.14,10.40,51200,10.04461
2016-08-24,10.36,10.39,10.18,10.35,13500,9.99632
2016-08-23,10.38,10.40,10.31,10.35,15800,9.99632
2016-08-22,10.40,10.40,10.29,10.34,32300,9.98666
2016-08-19,10.04,10.40,10.04,10.40,21200,10.04461
2016-08-18,9.92,10.04,9.90,10.04,19700,9.69691
2016-08-17,10.02,10.03,9.91,9.98,14000,9.63896
2016-08-16,9.89,10.03,9.89,10.00,34000,9.65828
2016-08-15,10.00,10.19,9.81,9.83,46600,9.49409
2016-08-12,9.84,10.14,9.80,9.93,63800,9.59067
2016-08-11,9.71,9.91,9.67,9.85,18800,9.5134
2016-08-10,9.75,9.77,9.65,9.68,27200,9.34921
2016-08-09,9.72,9.80,9.70,9.75,12600,9.41682
2016-08-08,9.69,9.75,9.66,9.70,32200,9.36853
2016-08-05,9.74,9.79,9.66,9.70,38100,9.36853
2016-08-04,9.73,9.80,9.70,9.73,26400,9.3975
2016-08-03,9.95,9.95,9.75,9.75,16600,9.41682
2016-08-02,10.00,10.00,9.82,9.85,27800,9.5134
2016-08-01,9.96,10.00,9.71,10.00,60200,9.65828
2016-07-29,10.11,10.11,9.90,9.95,193400,9.60999
2016-07-28,10.20,10.25,9.90,10.05,77500,9.70657
2016-07-27,10.20,10.66,10.02,10.03,64200,9.68725
2016-07-26,10.20,10.25,9.84,10.00,55800,9.65828
2016-07-25,9.80,10.22,9.785,10.10,267500,9.75486
2016-07-22,9.73,9.73,9.63,9.70,391500,9.36853
2016-07-21,11.53,11.63,9.48,9.61,372400,9.2816
2016-07-20,11.55,11.58,11.47,11.53,71100,11.13599
2016-07-19,11.48,11.73,11.47,11.50,34900,11.10702
2016-07-18,11.36,11.48,11.28,11.47,23400,11.07804
