Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,14.92,14.98,14.76,14.77,189000,14.77
2016-11-21,15.00,15.02,14.90,14.92,87600,14.92
2016-11-18,15.00,15.02,14.89,14.96,104600,14.96
2016-11-17,15.20,15.26,15.06,15.20,203600,14.75714
2016-11-16,15.34,15.38,15.05,15.22,174000,14.77656
2016-11-15,15.35,15.38,15.19,15.26,158900,14.81539
2016-11-14,15.80,15.80,15.32,15.35,182400,14.90277
2016-11-11,15.49,15.54,15.35,15.44,131200,14.99015
2016-11-10,15.50,15.65,15.38,15.45,208500,14.99986
2016-11-09,15.42,15.50,15.00,15.20,95700,14.75714
2016-11-08,15.51,15.51,15.365,15.38,90200,14.9319
2016-11-07,15.37,15.47,15.29,15.41,77300,14.96102
2016-11-04,15.43,15.43,15.21,15.24,106600,14.79598
2016-11-03,15.70,15.78,15.41,15.42,109400,14.97073
2016-11-02,15.85,15.99,15.58,15.71,229500,15.25228
2016-11-01,15.89,15.90,15.76,15.86,63900,15.39791
2016-10-31,15.76,15.90,15.75,15.90,66500,15.43675
2016-10-28,16.00,16.00,15.71,15.76,127700,15.30083
2016-10-27,15.68,15.95,15.66,15.90,285100,15.43675
2016-10-26,15.97,15.97,15.61,15.66,128400,15.20374
2016-10-25,16.00,16.01,15.80,15.96,99700,15.495
2016-10-24,16.00,16.01,15.84,15.92,84800,15.45617
2016-10-21,16.04,16.04,15.98,16.00,94800,15.53383
2016-10-20,16.02,16.05,15.97,15.99,84700,15.52413
2016-10-19,15.99,16.05,15.98,15.99,65000,15.52413
2016-10-18,16.01,16.03,15.98,15.99,75200,15.52413
2016-10-17,16.01,16.09,15.95,16.00,94900,15.53383
2016-10-14,16.04,16.09,15.97,16.01,210800,15.54354
2016-10-13,16.07,16.08,15.97,16.00,241000,15.53383
2016-10-12,16.07,16.10,15.90,16.07,373200,15.60179
2016-10-11,16.14,16.16,16.02,16.05,43900,15.58238
2016-10-10,16.14,16.16,16.01,16.06,84400,15.59209
2016-10-07,16.10,16.10,15.99,16.00,155400,15.53383
2016-10-06,16.02,16.11,15.98,16.04,129100,15.57267
2016-10-05,16.02,16.02,15.90,16.00,104000,15.53383
2016-10-04,16.15,16.15,15.97,16.00,126800,15.53383
2016-10-03,16.50,16.50,16.07,16.07,44400,15.60179
2016-09-30,16.00,16.27,15.91,16.12,124700,15.65034
2016-09-29,16.10,16.31,15.99,15.99,125400,15.52413
2016-09-28,15.88,16.08,15.83,15.90,138500,15.43675
2016-09-27,15.75,15.88,15.69,15.77,136600,15.31054
2016-09-26,15.75,15.80,15.69,15.75,203200,15.29112
2016-09-23,15.80,15.92,15.70,15.70,427300,15.24257
2016-09-22,15.79,15.80,15.60,15.72,105300,15.26199
2016-09-21,15.80,15.90,15.70,15.72,111300,15.26199
2016-09-20,16.16,16.20,15.90,15.93,121000,15.46587
2016-09-19,16.15,16.25,16.15,16.16,5500,15.68917
2016-09-16,16.20,16.30,16.06,16.15,413800,15.67946
2016-09-15,16.42,16.44,16.12,16.20,54000,15.72801
2016-09-14,16.50,16.82,16.49,16.49,45900,16.00956
2016-09-13,16.65,16.83,16.51,16.51,50900,16.02898
2016-09-12,16.66,16.83,16.60,16.64,69800,16.15519
2016-09-09,16.65,16.82,16.61,16.75,85300,16.26198
2016-09-08,16.86,16.88,16.66,16.66,60100,16.1746
2016-09-07,17.00,17.02,16.83,16.86,49900,16.36878
2016-09-06,16.90,17.00,16.83,16.97,39900,16.47557
2016-09-05,16.94,17.10,16.86,16.86,35300,16.36878
2016-09-02,16.80,16.97,16.75,16.97,63200,16.47557
2016-09-01,17.20,17.20,16.53,16.90,314700,16.40761
2016-08-31,17.28,17.30,17.21,17.21,36100,16.70858
2016-08-30,17.30,17.37,17.25,17.29,30600,16.78625
2016-08-29,17.40,17.42,17.185,17.26,76700,16.75712
2016-08-26,17.40,17.45,17.30,17.32,39000,16.81538
2016-08-25,17.34,17.50,17.18,17.41,92100,16.90275
2016-08-24,17.50,17.51,17.29,17.32,87500,16.81538
2016-08-23,17.35,17.64,17.29,17.47,74200,16.961
2016-08-22,17.32,17.35,17.255,17.27,122600,16.76683
2016-08-19,17.50,17.50,17.26,17.30,73100,16.79596
2016-08-18,17.31,17.36,17.25,17.27,34800,16.76683
2016-08-17,17.20,17.40,17.16,17.25,75300,16.74742
2016-08-16,16.99,17.20,16.91,17.16,60400,16.66004
2016-08-15,16.90,16.99,16.86,16.97,143700,16.47557
2016-08-12,17.00,17.04,16.92,16.99,98300,16.49499
2016-08-11,17.06,17.15,16.95,16.99,60600,16.49499
2016-08-10,17.22,17.22,16.95,16.95,111600,16.45616
2016-08-09,17.35,17.43,17.13,17.18,75600,16.67946
2016-08-08,17.40,17.46,17.30,17.38,47700,16.87363
2016-08-05,17.44,17.47,17.29,17.30,68500,16.79596
2016-08-04,17.50,17.57,17.32,17.34,78300,16.83479
2016-08-03,17.48,17.53,17.37,17.48,81100,16.97071
2016-08-02,17.79,17.79,17.50,17.53,105200,17.01926
2016-08-01,17.50,17.74,17.50,17.68,59000,17.16489
2016-07-29,17.97,17.97,17.36,17.43,49900,16.92217
2016-07-28,17.45,17.59,17.26,17.29,91600,16.78625
2016-07-27,17.70,17.82,17.35,17.35,82200,16.8445
2016-07-26,17.48,17.69,17.46,17.68,83900,17.16489
2016-07-25,17.50,17.53,17.38,17.48,63800,16.97071
2016-07-22,17.45,17.45,17.31,17.34,63900,16.83479
2016-07-21,17.49,17.49,17.36,17.43,70900,16.92217
2016-07-20,17.49,17.49,17.27,17.29,94300,16.78625
2016-07-19,17.38,17.42,17.21,17.25,66200,16.74742
2016-07-18,17.25,17.35,17.24,17.34,63800,16.83479
2016-07-15,17.25,17.27,17.10,17.14,92000,16.64062
2016-07-14,17.16,17.28,17.15,17.23,116300,16.728
2016-07-13,17.00,17.24,17.00,17.16,114700,16.66004
2016-07-12,17.03,17.22,16.92,16.92,117300,16.42703
2016-07-11,17.12,17.18,16.95,16.97,150500,16.47557
2016-07-08,16.96,17.08,16.90,16.99,133200,16.49499
2016-07-07,16.81,16.96,16.78,16.89,51700,16.3979
2016-07-06,16.86,16.91,16.75,16.79,96000,16.30082
2016-07-05,16.96,17.00,16.80,16.86,71000,16.36878
2016-07-04,17.00,17.01,16.89,16.89,123500,16.3979
2016-07-01,17.00,17.11,16.95,17.00,132400,16.5047
2016-06-30,16.79,17.06,16.77,17.00,182700,16.5047
2016-06-29,16.75,16.85,16.60,16.61,168800,16.12606
2016-06-28,16.75,16.76,16.66,16.70,163800,16.21344
2016-06-27,16.51,16.80,16.51,16.68,204600,16.19402
2016-06-24,16.80,16.845,16.41,16.45,145900,15.97072
2016-06-23,16.80,16.83,16.74,16.80,99900,16.31053
2016-06-22,16.91,16.91,16.71,16.76,199600,16.27169
2016-06-21,16.88,16.97,16.78,16.87,144000,16.37849
2016-06-20,17.05,17.06,16.82,16.88,117700,16.38819
2016-06-17,16.50,17.00,16.40,17.00,188800,16.5047
2016-06-16,16.45,16.53,16.39,16.40,80000,15.92218
2016-06-15,16.31,16.45,16.27,16.40,144300,15.92218
2016-06-14,16.38,16.38,16.11,16.13,100100,15.66005
2016-06-13,16.39,16.39,16.39,16.39,000,15.91247
2016-06-10,16.31,16.45,16.22,16.39,98200,15.91247
2016-06-09,16.30,16.30,16.15,16.23,90500,15.75713
2016-06-08,16.10,16.18,16.05,16.15,90500,15.67946
2016-06-07,16.00,16.13,16.00,16.05,58200,15.58238
2016-06-06,16.08,16.14,15.95,15.99,86300,15.52413
2016-06-03,16.24,16.24,16.01,16.04,92700,15.57267
2016-06-02,16.03,16.08,15.95,16.00,59600,15.53383
2016-06-01,16.20,16.20,16.03,16.03,37900,15.56296
2016-05-31,16.25,16.28,16.11,16.20,78700,15.72801
2016-05-30,16.23,16.25,16.13,16.20,138600,15.72801
2016-05-27,16.10,16.235,16.10,16.18,76300,15.70859
2016-05-26,16.14,16.28,16.10,16.10,39900,15.63092
