Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,6.02,6.09,6.01,6.09,5928400,6.09
2016-11-21,5.98,6.03,5.96,5.99,4095100,5.99
2016-11-18,6.10,6.17,5.91,5.98,11203500,5.98
2016-11-17,5.93,6.07,5.91,6.07,7930100,6.07
2016-11-16,5.95,5.99,5.92,5.97,5397200,5.97
2016-11-15,5.96,5.99,5.85,5.91,5762300,5.91
2016-11-14,5.96,6.05,5.94,6.00,6722900,6.00
2016-11-11,6.00,6.00,5.85,5.95,9351200,5.95
2016-11-10,6.10,6.10,5.82,6.04,15993700,6.04
2016-11-09,6.27,6.275,6.04,6.15,9828500,6.15
2016-11-08,6.32,6.34,6.215,6.23,5782600,6.23
2016-11-07,6.22,6.32,6.19,6.29,3815800,6.29
2016-11-04,6.17,6.23,6.16,6.20,3727900,6.20
2016-11-03,6.21,6.28,6.195,6.23,2932900,6.23
2016-11-02,6.28,6.28,6.20,6.24,5625500,6.24
2016-11-01,6.25,6.31,6.19,6.28,4835500,6.28
2016-10-31,6.11,6.27,6.085,6.26,7469200,6.26
2016-10-28,6.25,6.25,6.04,6.08,11821800,6.08
2016-10-27,6.42,6.44,6.21,6.21,8489100,6.21
2016-10-26,6.53,6.53,6.355,6.40,9178500,6.40
2016-10-25,6.58,6.66,6.56,6.60,5177500,6.60
2016-10-24,6.65,6.65,6.50,6.59,3521100,6.59
2016-10-21,6.70,6.71,6.58,6.63,7698800,6.63
2016-10-20,6.65,6.72,6.55,6.71,9555100,6.71
2016-10-19,6.43,6.58,6.43,6.53,5978700,6.53
2016-10-18,6.40,6.44,6.37,6.38,7477900,6.38
2016-10-17,6.55,6.58,6.40,6.40,5473800,6.40
2016-10-14,6.64,6.71,6.58,6.58,3596200,6.58
2016-10-13,6.50,6.625,6.45,6.58,6886100,6.58
2016-10-12,6.43,6.53,6.42,6.48,7274600,6.48
2016-10-11,6.51,6.55,6.45,6.47,7027500,6.47
2016-10-10,6.64,6.64,6.505,6.52,3884800,6.52
2016-10-07,6.70,6.70,6.58,6.61,6881000,6.61
2016-10-06,6.67,6.70,6.58,6.68,5811000,6.68
2016-10-05,6.70,6.71,6.585,6.63,8155800,6.63
2016-10-04,6.87,6.87,6.69,6.76,6513500,6.76
2016-10-03,6.97,7.01,6.89,6.90,1890000,6.90
2016-09-30,6.93,7.00,6.87,6.97,4143200,6.97
2016-09-29,7.03,7.05,6.97,7.00,3095900,7.00
2016-09-28,6.96,6.965,6.90,6.93,3295800,6.93
2016-09-27,6.95,6.96,6.88,6.92,4686700,6.92
2016-09-26,7.00,7.00,6.96,6.98,3137000,6.98
2016-09-23,6.97,7.04,6.90,7.02,5167100,7.02
2016-09-22,6.99,7.04,6.825,6.93,7674300,6.93
2016-09-21,6.71,6.89,6.71,6.85,9119000,6.85
2016-09-20,6.73,6.735,6.57,6.61,5939000,6.61
2016-09-19,6.65,6.65,6.56,6.615,1203200,6.615
2016-09-16,6.55,6.60,6.515,6.60,7731800,6.60
2016-09-15,6.48,6.52,6.415,6.45,6598100,6.45
2016-09-14,6.55,6.56,6.40,6.50,10616500,6.50
2016-09-13,6.52,6.555,6.49,6.54,16137600,6.54
2016-09-12,6.65,6.67,6.395,6.42,15058800,6.42
2016-09-09,7.00,7.01,6.835,6.85,7341700,6.85
2016-09-08,7.01,7.06,6.97,7.04,4038100,7.04
2016-09-07,7.02,7.10,7.02,7.06,4746200,7.06
2016-09-06,7.01,7.07,6.98,7.02,3767100,7.02
2016-09-05,7.00,7.12,7.00,7.06,6734200,7.06
2016-09-02,7.24,7.27,7.10,7.12,6876900,7.12
2016-09-01,7.28,7.32,7.255,7.28,2118700,7.28
2016-08-31,7.39,7.39,7.255,7.28,4504700,7.28
2016-08-30,7.38,7.385,7.33,7.34,3892700,7.34
2016-08-29,7.37,7.37,7.26,7.34,2447500,7.34
2016-08-26,7.46,7.50,7.36,7.38,4816500,7.38
2016-08-25,7.50,7.60,7.50,7.54,4289800,7.54
2016-08-24,7.50,7.57,7.43,7.54,3977700,7.54
2016-08-23,7.57,7.58,7.52,7.53,3274800,7.53
2016-08-22,7.44,7.56,7.39,7.55,3508800,7.55
2016-08-19,7.50,7.54,7.395,7.43,3230600,7.43
2016-08-18,7.50,7.50,7.21,7.42,6030300,7.42
2016-08-17,7.45,7.45,7.37,7.40,2634200,7.40
2016-08-16,7.42,7.45,7.36,7.38,4094000,7.38
2016-08-15,7.38,7.43,7.36,7.42,2198800,7.42
2016-08-12,7.44,7.44,7.37,7.40,4289000,7.40
2016-08-11,7.37,7.385,7.32,7.38,4234300,7.38
2016-08-10,7.33,7.39,7.27,7.39,4656300,7.39
2016-08-09,7.32,7.35,7.285,7.31,4352300,7.31
2016-08-08,7.33,7.375,7.31,7.32,3717800,7.32
2016-08-05,7.39,7.41,7.29,7.31,3897100,7.31
2016-08-04,7.39,7.43,7.335,7.37,2689600,7.37
2016-08-03,7.40,7.485,7.34,7.37,5294200,7.37
2016-08-02,7.52,7.615,7.46,7.46,8562000,7.46
2016-08-01,7.57,7.62,7.54,7.57,2480600,7.57
2016-07-29,7.48,7.57,7.47,7.56,5737200,7.56
2016-07-28,7.53,7.53,7.445,7.51,3877600,7.51
2016-07-27,7.50,7.51,7.41,7.49,3500900,7.49
2016-07-26,7.50,7.50,7.45,7.50,3382500,7.50
2016-07-25,7.50,7.50,7.42,7.49,4038600,7.49
2016-07-22,7.42,7.45,7.38,7.45,3502500,7.45
2016-07-21,7.44,7.51,7.39,7.40,6281000,7.40
2016-07-20,7.26,7.38,7.245,7.36,5779900,7.36
2016-07-19,7.14,7.265,7.11,7.15,8037500,7.15
2016-07-18,7.09,7.15,7.06,7.11,1908600,7.11
2016-07-15,7.10,7.115,7.05,7.05,3350100,7.05
2016-07-14,7.08,7.15,7.05,7.10,4373700,7.10
2016-07-13,7.10,7.11,6.965,7.01,6009900,7.01
2016-07-12,7.19,7.19,7.07,7.08,4359700,7.08
2016-07-11,7.18,7.18,7.13,7.18,3300600,7.18
2016-07-08,7.10,7.13,7.09,7.11,2296200,7.11
2016-07-07,7.15,7.16,7.09,7.11,2987900,7.11
2016-07-06,7.05,7.175,7.03,7.09,5894900,7.09
2016-07-05,7.18,7.18,7.02,7.08,3892500,7.08
2016-07-04,7.04,7.185,7.04,7.16,4299700,7.16
2016-07-01,6.94,7.02,6.91,7.00,8913000,7.00
2016-06-30,6.99,7.04,6.92,6.94,7869100,6.94
2016-06-29,6.97,6.97,6.835,6.87,6459800,6.87
2016-06-28,7.16,7.19,6.96,6.99,8884500,6.84
2016-06-27,7.22,7.29,7.16,7.28,4118600,7.12378
2016-06-24,7.27,7.275,7.02,7.10,6796400,6.94764
2016-06-23,7.25,7.315,7.185,7.20,3329000,7.04549
2016-06-22,7.23,7.27,7.155,7.24,3694400,7.08464
2016-06-21,7.14,7.24,7.12,7.23,5173400,7.07485
2016-06-20,7.18,7.18,7.02,7.08,3259300,6.92807
2016-06-17,7.05,7.11,7.02,7.11,7427400,6.95743
