Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,4.91,4.93,4.90,4.90,18965000,4.90
2016-11-21,4.94,4.95,4.88,4.88,22031000,4.88
2016-11-18,4.91,4.965,4.88,4.93,36303500,4.93
2016-11-17,4.75,4.86,4.73,4.84,42158000,4.84
2016-11-16,4.75,4.765,4.72,4.72,24591500,4.72
2016-11-15,4.79,4.79,4.71,4.71,34427800,4.71
2016-11-14,4.75,4.82,4.75,4.78,28484600,4.78
2016-11-11,4.86,4.86,4.70,4.72,46773800,4.72
2016-11-10,4.88,4.91,4.80,4.85,39606800,4.85
2016-11-09,4.92,4.94,4.78,4.84,37027000,4.84
2016-11-08,4.97,4.98,4.90,4.90,20777300,4.90
2016-11-07,4.92,4.95,4.91,4.93,18794700,4.93
2016-11-04,4.90,4.93,4.89,4.90,17486400,4.90
2016-11-03,4.89,4.94,4.89,4.90,18868900,4.90
2016-11-02,4.92,4.96,4.89,4.90,29825500,4.90
2016-11-01,5.00,5.00,4.92,4.92,17400700,4.92
2016-10-31,4.95,5.00,4.935,4.98,23011700,4.98
2016-10-28,4.99,4.99,4.95,4.95,27395300,4.95
2016-10-27,5.01,5.02,4.97,4.98,25553500,4.98
2016-10-26,5.03,5.04,5.00,5.00,27627500,5.00
2016-10-25,5.05,5.09,5.04,5.05,12154700,5.05
2016-10-24,5.04,5.05,5.01,5.05,15069400,5.05
2016-10-21,5.06,5.08,5.02,5.04,19176800,5.04
2016-10-20,5.11,5.12,5.06,5.06,17081300,5.06
2016-10-19,5.05,5.11,5.04,5.09,24489100,5.09
2016-10-18,5.03,5.05,5.015,5.03,23068500,5.03
2016-10-17,5.08,5.09,5.02,5.03,23473200,5.03
2016-10-14,5.09,5.11,5.08,5.08,14283500,5.08
2016-10-13,5.08,5.09,5.03,5.06,27648600,5.06
2016-10-12,5.04,5.11,5.01,5.10,35129900,5.10
2016-10-11,5.09,5.09,5.04,5.05,54257600,5.05
2016-10-10,5.05,5.09,5.04,5.07,64343200,5.07
2016-10-07,5.07,5.07,4.995,5.01,43971600,5.01
2016-10-06,5.13,5.135,5.03,5.06,37724700,5.06
2016-10-05,5.19,5.19,5.12,5.15,33132500,5.15
2016-10-04,5.19,5.20,5.155,5.20,35140000,5.20
2016-10-03,5.20,5.22,5.18,5.20,23268200,5.20
2016-09-30,5.14,5.21,5.135,5.18,29369500,5.18
2016-09-29,5.15,5.17,5.12,5.15,17242400,5.15
2016-09-28,5.12,5.19,5.09,5.10,24950100,5.10
2016-09-27,5.16,5.17,5.10,5.11,35013100,5.11
2016-09-26,5.17,5.19,5.13,5.19,22472200,5.19
2016-09-23,5.12,5.19,5.08,5.19,30498700,5.19
2016-09-22,5.08,5.11,5.05,5.09,16354000,5.09
2016-09-21,5.01,5.05,5.01,5.05,25205600,5.05
2016-09-20,5.07,5.08,5.00,5.01,31886300,5.01
2016-09-19,5.15,5.15,5.07,5.085,3992000,5.085
2016-09-16,5.05,5.11,5.04,5.10,31915400,5.10
2016-09-15,5.01,5.045,5.005,5.02,28724400,5.02
2016-09-14,4.94,5.07,4.92,5.07,53424700,5.07
2016-09-13,5.04,5.05,4.93,4.94,41464100,4.94
2016-09-12,5.00,5.01,4.99,4.99,37794700,4.99
2016-09-09,5.10,5.12,5.06,5.06,20634700,5.06
2016-09-08,5.11,5.12,5.09,5.11,21214000,5.11
2016-09-07,5.12,5.15,5.115,5.14,22132800,5.14
