Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,7.96,8.12,7.84,7.99,137000,7.99
2016-11-21,7.87,7.95,7.78,7.86,125900,7.86
2016-11-18,7.95,7.95,7.68,7.80,136200,7.80
2016-11-17,7.60,7.99,7.50,7.87,198900,7.87
2016-11-16,7.70,7.70,7.51,7.56,327100,7.56
2016-11-15,7.74,7.78,7.53,7.60,198200,7.60
2016-11-14,8.10,8.10,7.66,7.74,350900,7.74
2016-11-11,7.65,8.03,7.57,8.03,272800,8.03
2016-11-10,7.38,7.65,7.33,7.62,202400,7.62
2016-11-09,7.38,7.39,7.06,7.17,238400,7.17
2016-11-08,7.20,7.35,7.18,7.28,119400,7.28
2016-11-07,7.40,7.40,7.12,7.16,194800,7.16
2016-11-04,7.35,7.45,7.31,7.35,107500,7.35
2016-11-03,7.31,7.38,7.12,7.30,169100,7.30
2016-11-02,7.52,7.55,7.23,7.31,271700,7.31
2016-11-01,7.51,7.61,7.50,7.51,248100,7.51
2016-10-31,7.45,7.55,7.42,7.47,324000,7.47
2016-10-28,7.01,7.41,7.01,7.39,250700,7.39
2016-10-27,7.13,7.13,6.71,6.98,294100,6.98
2016-10-26,7.31,7.325,7.10,7.12,305600,7.12
2016-10-25,7.55,7.55,7.18,7.20,437100,7.20
2016-10-24,7.67,7.77,7.53,7.53,244800,7.53
2016-10-21,7.71,7.94,7.55,7.63,437500,7.63
2016-10-20,8.30,8.30,7.43,7.68,1103400,7.68
2016-10-19,9.67,9.67,8.80,8.80,260900,8.80
2016-10-18,9.51,9.63,9.41,9.45,102300,9.45
2016-10-17,9.35,9.73,9.31,9.70,92700,9.70
2016-10-14,9.60,9.61,9.25,9.31,129800,9.31
2016-10-13,9.53,9.76,9.51,9.63,62900,9.63
2016-10-12,9.57,9.63,9.52,9.55,113900,9.55
2016-10-11,9.64,9.75,9.43,9.57,138800,9.57
2016-10-10,9.95,9.95,9.635,9.69,149900,9.69
