Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,68.84,69.40,68.84,69.33,56300,69.33
2016-11-21,68.43,68.63,68.28,68.51,50900,68.51
2016-11-18,68.38,68.60,68.33,68.50,62700,68.50
2016-11-17,67.66,68.34,67.50,68.08,35400,68.08
2016-11-16,68.32,68.37,68.04,68.13,48700,68.13
2016-11-15,68.14,68.14,67.83,68.10,43600,68.10
2016-11-14,68.36,68.41,68.00,68.22,27400,68.22
2016-11-11,68.10,68.46,68.00,68.46,76800,68.46
2016-11-10,67.61,67.94,67.47,67.94,114900,67.94
2016-11-09,67.38,67.69,64.42,65.62,200400,65.62
2016-11-08,67.23,67.26,66.83,67.04,36000,67.04
2016-11-07,66.31,66.91,66.31,66.87,96900,66.87
2016-11-04,66.21,66.31,65.95,65.99,112300,65.99
2016-11-03,66.16,66.65,66.03,66.51,93900,66.51
2016-11-02,66.83,66.83,66.19,66.45,72300,66.45
2016-11-01,67.29,67.70,67.02,67.30,53600,67.30
2016-10-31,67.14,67.80,67.14,67.68,47600,67.68
2016-10-28,67.40,67.52,66.93,67.19,71000,67.19
2016-10-27,68.21,68.27,67.40,67.40,30700,67.40
2016-10-26,68.62,68.70,67.95,68.04,65000,68.04
2016-10-25,68.90,69.39,68.90,69.21,38200,69.21
2016-10-24,69.08,69.15,68.38,68.68,52100,68.68
2016-10-21,69.22,69.26,68.81,69.01,37900,69.01
2016-10-20,69.34,69.39,69.07,69.23,34700,69.23
2016-10-19,69.11,69.11,68.95,69.07,22900,69.07
2016-10-14,69.12,69.28,69.05,69.10,24200,69.10
2016-10-13,69.30,69.31,68.88,69.05,40700,69.05
2016-10-12,69.30,69.55,69.10,69.55,47300,69.55
2016-10-11,69.89,69.98,69.62,69.68,17800,69.68
2016-10-10,69.73,69.87,69.59,69.62,21800,69.62
2016-10-07,69.99,69.99,69.42,69.49,26900,69.49
2016-10-06,69.63,69.73,69.45,69.73,23300,69.73
2016-10-05,69.54,69.54,69.22,69.43,27400,69.43
2016-10-04,70.79,70.79,69.37,69.75,32000,69.75
2016-10-03,70.46,70.92,70.46,70.75,32100,70.75
2016-09-30,70.15,70.33,69.95,70.24,27400,70.24
2016-09-29,70.52,70.71,70.42,70.71,28000,70.71
2016-09-28,69.92,70.20,69.66,69.76,66300,69.76
2016-09-27,69.55,69.88,69.32,69.88,50600,69.88
2016-09-26,69.91,70.19,69.76,70.19,24300,70.19
2016-09-23,69.75,70.21,69.50,70.13,32700,70.13
2016-09-22,69.40,69.63,69.40,69.60,29800,69.60
2016-09-21,68.55,69.04,68.50,69.00,25000,69.00
2016-09-20,68.22,68.39,68.10,68.37,22000,68.37
2016-09-19,68.22,68.39,68.00,68.29,23900,68.29
2016-09-16,68.06,68.50,67.85,68.31,27600,68.31
2016-09-15,67.29,67.72,67.03,67.72,24600,67.72
2016-09-14,67.02,67.47,67.00,67.36,39700,67.36
2016-09-13,67.97,68.01,67.18,67.22,63600,67.22
2016-09-12,67.77,67.77,67.23,67.24,88100,67.24
2016-09-09,69.01,69.01,68.80,68.85,39700,68.85
2016-09-08,69.48,69.48,69.02,69.43,21100,69.43
2016-09-06,69.69,69.78,69.56,69.64,15600,69.64
2016-09-05,69.48,69.88,69.48,69.78,27400,69.78
2016-09-02,69.50,69.50,68.96,69.04,42300,69.04
2016-09-01,70.22,70.22,69.50,69.64,32300,69.64
2016-08-31,70.29,70.30,69.55,69.80,71700,69.80
2016-08-30,70.68,70.68,70.30,70.30,11800,70.30
2016-08-29,71.01,71.01,70.02,70.21,42300,70.21
2016-08-26,71.04,71.04,70.73,70.80,39100,70.80
2016-08-25,71.37,71.37,71.00,71.09,28100,71.09
2016-08-24,71.50,71.50,71.29,71.45,36600,71.45
2016-08-23,70.78,71.42,70.78,71.11,50200,71.11
2016-08-22,70.78,70.97,70.56,70.60,31600,70.60
2016-08-19,70.82,70.86,70.50,70.72,32400,70.72
2016-08-18,71.09,71.12,70.44,70.48,37000,70.48
2016-08-17,70.55,70.94,70.52,70.88,45800,70.88
2016-08-16,70.90,70.90,70.62,70.74,16500,70.74
2016-08-15,70.48,70.88,70.39,70.82,25700,70.82
2016-08-12,70.77,70.93,70.35,70.63,27700,70.63
2016-08-11,70.41,70.41,69.94,70.26,20400,70.26
2016-08-10,70.65,70.77,70.30,70.59,36500,70.59
2016-08-09,70.61,70.83,70.60,70.82,47000,70.82
2016-08-08,70.64,70.81,70.57,70.62,51400,70.62
2016-08-05,70.21,70.30,70.05,70.19,27400,70.19
2016-08-04,70.49,70.49,69.85,70.00,59400,70.00
2016-08-03,70.67,70.67,69.74,69.74,43300,69.74
2016-08-02,71.14,71.28,70.65,70.68,87400,70.68
2016-08-01,71.09,71.58,70.99,71.26,36200,71.26
2016-07-29,70.90,71.03,70.60,70.90,56800,70.90
2016-07-28,70.73,70.94,70.67,70.77,30300,70.77
2016-07-27,70.84,71.00,70.51,70.60,32900,70.60
2016-07-26,70.32,70.53,70.10,70.53,28900,70.53
2016-07-25,70.34,70.73,70.34,70.62,80600,70.62
2016-07-22,70.19,70.26,69.83,70.04,563100,70.04
2016-07-21,70.39,70.56,70.16,70.26,319100,70.26
2016-07-20,69.44,69.95,69.44,69.93,57100,69.93
2016-07-19,69.62,69.67,69.29,69.40,27700,69.40
