Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,5.30,5.345,5.25,5.25,2342100,5.25
2016-11-21,5.30,5.35,5.285,5.30,1828700,5.30
2016-11-18,5.33,5.37,5.25,5.33,1649700,5.33
2016-11-17,5.25,5.37,5.20,5.28,2503400,5.28
2016-11-16,5.32,5.38,5.27,5.27,2163300,5.27
2016-11-15,5.44,5.47,5.31,5.32,2975100,5.32
2016-11-14,5.62,5.62,5.40,5.43,2985000,5.43
2016-11-11,5.64,5.64,5.43,5.53,2196600,5.53
2016-11-10,5.62,5.68,5.56,5.60,4047500,5.60
2016-11-09,5.74,5.79,5.335,5.44,4628400,5.44
2016-11-08,5.62,5.80,5.60,5.72,3646800,5.72
2016-11-07,5.42,5.68,5.42,5.62,3493000,5.62
2016-11-04,5.33,5.49,5.33,5.40,2694700,5.40
2016-11-03,5.21,5.44,5.19,5.39,4234800,5.39
2016-11-02,5.42,5.44,5.23,5.24,5819000,5.24
2016-11-01,5.62,5.69,5.435,5.52,3622900,5.52
2016-10-31,5.65,5.75,5.58,5.71,2279800,5.71
2016-10-28,5.53,5.68,5.53,5.65,3141900,5.65
2016-10-27,5.69,5.71,5.505,5.53,6523600,5.53
2016-10-26,5.80,5.84,5.61,5.69,4275400,5.69
2016-10-25,5.91,5.945,5.78,5.89,3494900,5.89
2016-10-24,5.89,5.95,5.84,5.90,3336800,5.90
2016-10-21,5.85,5.90,5.81,5.89,3410700,5.89
2016-10-20,5.96,5.96,5.85,5.87,4972800,5.87
2016-10-19,5.80,5.97,5.78,5.94,5722600,5.94
2016-10-18,5.60,5.76,5.59,5.68,4694900,5.68
2016-10-17,5.75,5.77,5.56,5.56,3039000,5.56
2016-10-14,5.88,5.90,5.665,5.70,4979400,5.70
2016-10-13,5.54,5.80,5.52,5.79,9033900,5.79
2016-10-12,5.25,5.50,5.25,5.49,14244100,5.49
2016-10-11,5.77,5.80,5.63,5.63,3701500,5.63
2016-10-10,5.65,5.79,5.65,5.67,3315400,5.67
2016-10-07,5.77,5.80,5.59,5.61,5340400,5.61
2016-10-06,5.85,5.86,5.52,5.83,14652700,5.83
2016-10-05,6.02,6.05,5.87,5.90,4419100,5.90
2016-10-04,6.13,6.16,6.03,6.06,3560800,6.06
2016-10-03,6.23,6.26,6.10,6.13,1616400,6.13
2016-09-30,6.27,6.285,6.18,6.23,3012300,6.23
2016-09-29,6.30,6.36,6.27,6.28,3515400,6.28
2016-09-28,6.25,6.43,6.18,6.19,6169600,6.19
2016-09-27,6.34,6.41,6.26,6.26,4806900,6.26
2016-09-26,6.47,6.49,6.36,6.43,6099000,6.43
2016-09-23,6.31,6.54,6.24,6.45,10298000,6.45
2016-09-22,6.31,6.35,6.12,6.26,11897300,6.26
2016-09-21,6.50,6.64,5.62,6.09,23546500,6.09
2016-09-20,7.05,7.07,6.74,6.76,6074900,6.76
2016-09-19,7.14,7.14,7.00,7.015,992700,7.015
2016-09-16,7.05,7.17,7.02,7.12,13784600,7.0057
