Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,154.26,154.39,153.50,153.94,11100,153.94
2016-11-21,152.80,154.59,152.80,154.24,8800,154.24
2016-11-18,151.11,152.82,151.11,152.50,7500,152.50
2016-11-17,149.00,150.53,149.00,150.25,21400,150.25
2016-11-16,148.55,149.40,148.55,149.26,15800,149.26
2016-11-15,148.43,148.43,147.50,148.22,8000,148.22
2016-11-14,147.02,148.92,147.02,148.44,14800,148.44
2016-11-11,145.00,146.99,145.00,146.23,16800,146.23
2016-11-10,143.00,145.48,143.00,144.80,13900,144.80
2016-11-09,142.00,142.13,136.60,137.08,18500,137.08
2016-11-08,143.98,143.98,141.46,141.79,10500,141.79
2016-11-07,138.88,142.62,138.88,141.01,9300,141.01
2016-11-04,139.50,139.89,138.95,139.29,11900,139.29
2016-11-03,140.98,140.98,139.54,139.55,22700,139.55
2016-11-02,141.99,141.99,140.86,141.08,17700,141.08
2016-11-01,143.36,143.55,142.56,142.68,16600,142.68
2016-10-31,143.46,143.61,143.19,143.38,11300,143.38
2016-10-28,144.00,144.00,143.49,143.56,12500,143.56
2016-10-27,145.90,145.90,142.71,143.48,6600,143.48
2016-10-26,144.74,144.74,142.19,142.66,7200,142.66
2016-10-25,144.40,145.34,144.40,144.74,9500,144.74
2016-10-24,143.47,144.74,143.40,144.32,5100,144.32
2016-10-21,143.94,144.35,143.72,143.80,4300,143.80
2016-10-20,142.78,143.75,142.30,143.73,4100,143.73
2016-10-19,142.80,143.28,142.75,143.28,9100,143.28
2016-10-14,144.59,144.95,143.87,144.35,12200,144.35
2016-10-13,145.39,145.56,144.59,144.59,3500,144.59
2016-10-12,145.56,145.72,145.07,145.25,7600,145.25
2016-10-11,146.20,147.00,146.20,146.88,5800,146.88
2016-10-10,146.20,146.59,145.48,145.92,7300,145.92
2016-10-07,145.88,146.40,145.88,146.23,11100,146.23
2016-10-06,145.00,145.98,145.00,145.82,13700,145.82
2016-10-05,145.00,145.60,144.52,144.88,6600,144.88
2016-10-04,145.49,145.49,144.22,145.00,3900,145.00
2016-10-03,145.00,145.99,144.50,145.50,10900,145.50
