Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,9.49,9.63,9.38,9.55,290500,9.55
2016-11-21,9.60,9.68,9.42,9.51,666700,9.51
2016-11-18,9.51,9.80,9.42,9.60,471700,9.60
2016-11-17,9.31,9.54,9.26,9.45,530600,9.45
2016-11-16,9.84,10.02,9.35,9.35,668100,9.35
2016-11-15,10.00,10.22,9.765,9.84,939200,9.84
2016-11-14,10.08,10.35,9.95,10.05,902500,10.05
2016-11-11,10.10,10.23,9.67,9.92,952800,9.92
2016-11-10,10.16,10.59,10.06,10.14,1242500,10.14
2016-11-09,10.75,10.83,9.51,9.75,1196800,9.75
2016-11-08,9.30,9.58,9.26,9.32,722400,9.32
2016-11-07,9.25,9.37,9.05,9.29,548900,9.29
2016-11-04,9.25,9.48,9.11,9.27,625700,9.27
2016-11-03,9.50,9.60,9.15,9.31,1074300,9.31
2016-11-02,10.72,10.72,9.60,9.63,1356200,9.63
2016-11-01,10.93,10.93,10.67,10.89,584700,10.89
2016-10-31,11.00,11.40,10.83,10.94,495700,10.94
2016-10-28,11.45,11.52,11.07,11.16,422300,11.16
2016-10-27,11.47,11.56,11.35,11.41,450700,11.41
2016-10-26,11.75,11.75,11.40,11.51,319300,11.51
2016-10-25,11.70,11.89,11.68,11.87,428300,11.87
2016-10-24,11.85,11.85,11.28,11.64,550300,11.64
2016-10-21,12.04,12.16,11.82,11.86,575000,11.86
2016-10-20,11.94,12.05,11.85,12.00,471700,12.00
2016-10-19,11.85,11.99,11.65,11.92,460700,11.92
2016-10-18,11.47,11.89,11.44,11.76,350800,11.76
2016-10-17,11.94,11.94,11.38,11.53,511500,11.53
2016-10-14,12.00,12.00,11.82,11.94,316400,11.94
2016-10-13,11.95,12.20,11.905,12.01,384700,12.01
2016-10-12,11.82,11.99,11.76,11.99,471500,11.99
2016-10-11,11.96,11.96,11.73,11.82,450900,11.82
2016-10-10,12.02,12.06,11.86,11.90,325100,11.90
2016-10-07,11.79,12.02,11.72,11.93,339700,11.93
2016-10-06,11.75,11.80,11.61,11.79,543100,11.79
2016-10-05,11.69,11.84,11.65,11.75,372100,11.75
2016-10-04,11.70,11.98,11.61,11.69,489400,11.69
2016-10-03,11.75,11.75,11.52,11.67,327500,11.67
2016-09-30,11.78,11.78,11.53,11.60,325100,11.60
2016-09-29,11.50,11.98,11.45,11.81,947600,11.81
2016-09-28,11.35,11.40,11.10,11.39,425500,11.39
2016-09-27,10.98,11.33,10.95,11.32,536200,11.32
2016-09-26,11.00,11.11,10.92,10.98,355200,10.98
2016-09-23,11.00,11.00,10.82,10.94,371800,10.94
2016-09-22,11.00,11.09,10.87,10.99,486600,10.99
2016-09-21,10.99,11.27,10.79,10.92,742500,10.92
2016-09-20,10.54,11.01,10.53,10.92,1121000,10.80571
2016-09-19,10.29,10.55,10.28,10.54,340900,10.42969
2016-09-16,10.00,10.29,10.00,10.29,3391000,10.18231
2016-09-15,10.15,10.15,9.90,10.00,350800,9.89534
2016-09-14,10.15,10.18,9.97,10.15,464200,10.04377
2016-09-13,10.11,10.25,10.03,10.19,735500,10.08335
2016-09-12,10.25,10.25,9.87,9.93,526600,9.82608
2016-09-09,10.25,10.28,10.08,10.23,267500,10.12294
2016-09-08,10.40,10.48,10.01,10.23,513600,10.12294
2016-09-07,9.97,10.305,9.955,10.30,404600,10.1922
2016-09-06,10.09,10.09,9.855,9.97,232200,9.86566
2016-09-05,9.98,10.13,9.71,10.08,490700,9.97451
2016-09-02,9.80,10.15,9.77,9.90,555000,9.79639
2016-09-01,9.79,9.84,9.60,9.64,196200,9.53911
2016-08-31,9.89,9.90,9.70,9.82,148000,9.71723
2016-08-30,9.86,9.95,9.85,9.91,198900,9.80628
2016-08-29,9.95,9.98,9.70,9.90,191000,9.79639
2016-08-26,9.66,9.98,9.66,9.95,207800,9.84587
2016-08-25,9.66,9.90,9.62,9.65,155200,9.54901
2016-08-24,9.50,9.75,9.36,9.64,169300,9.53911
2016-08-23,9.60,9.73,9.36,9.50,519300,9.40058
2016-08-22,9.40,9.90,9.33,9.75,623100,9.64796
2016-08-19,9.75,9.80,9.21,9.40,640500,9.30162
2016-08-18,9.90,10.00,9.345,9.70,1958100,9.59848
2016-08-17,7.91,8.10,7.85,8.05,255500,7.96575
2016-08-16,8.12,8.12,7.83,7.93,168500,7.84701
2016-08-15,7.96,8.15,7.96,8.07,263500,7.98554
2016-08-12,7.85,7.98,7.80,7.91,184400,7.82722
2016-08-11,7.67,7.84,7.67,7.82,140500,7.73816
2016-08-10,7.64,7.69,7.555,7.66,145000,7.57983
2016-08-09,7.82,7.82,7.64,7.64,85300,7.56004
2016-08-08,7.76,7.84,7.76,7.82,178000,7.73816
2016-08-05,7.57,7.76,7.57,7.75,186200,7.66889
2016-08-04,7.46,7.60,7.46,7.57,158100,7.49077
2016-08-03,7.62,7.62,7.35,7.44,215400,7.36213
2016-08-02,7.80,7.82,7.63,7.63,186700,7.55015
2016-08-01,7.69,7.87,7.69,7.82,158500,7.73816
2016-07-29,7.66,7.70,7.56,7.65,119200,7.56994
2016-07-28,7.52,7.77,7.52,7.66,314600,7.57983
2016-07-27,7.40,7.59,7.39,7.51,259800,7.4314
2016-07-26,7.31,7.40,7.28,7.40,142800,7.32255
2016-07-25,7.385,7.41,7.25,7.31,190800,7.2335
2016-07-22,7.43,7.43,7.32,7.35,96400,7.27308
2016-07-21,7.25,7.43,7.24,7.35,380800,7.27308
2016-07-20,7.20,7.25,7.17,7.22,273200,7.14444
2016-07-19,7.20,7.22,7.13,7.20,138400,7.12465
2016-07-18,7.21,7.24,7.10,7.19,90300,7.11475
2016-07-15,7.22,7.26,7.06,7.21,295600,7.13454
2016-07-14,7.19,7.26,7.16,7.20,221900,7.12465
2016-07-13,7.00,7.19,6.99,7.14,328000,7.06527
2016-07-12,6.97,7.015,6.92,6.94,214500,6.86737
2016-07-11,6.95,6.95,6.87,6.94,185000,6.86737
2016-07-08,6.99,6.99,6.87,6.90,82900,6.82779
2016-07-07,7.00,7.02,6.96,7.00,92000,6.92674
2016-07-06,6.90,7.01,6.90,6.99,151400,6.91684
2016-07-05,6.96,7.03,6.89,7.00,145500,6.92674
2016-07-04,7.00,7.09,6.92,6.96,269100,6.88716
2016-07-01,7.05,7.09,6.86,7.00,375000,6.92674
2016-06-30,6.95,7.16,6.92,7.09,337200,7.0158
2016-06-29,6.90,6.90,6.66,6.87,558700,6.7981
2016-06-28,6.88,6.96,6.83,6.84,174100,6.76841
2016-06-27,6.86,6.98,6.75,6.93,509100,6.85747
2016-06-24,7.15,7.20,6.815,6.93,276200,6.85747
2016-06-23,6.93,7.12,6.89,7.09,237000,7.0158
2016-06-22,6.87,6.96,6.80,6.95,535400,6.87726
2016-06-21,6.75,6.91,6.73,6.89,190100,6.81789
2016-06-20,6.89,6.95,6.50,6.72,203900,6.64967
2016-06-17,7.05,7.07,6.91,6.91,343100,6.83768
2016-06-16,7.11,7.16,7.03,7.07,245500,6.99601
2016-06-15,7.07,7.20,7.07,7.15,163000,7.07517
2016-06-14,7.19,7.24,7.09,7.09,406600,7.0158
2016-06-13,7.20,7.20,7.20,7.20,000,7.12465
2016-06-10,7.23,7.33,7.16,7.20,272100,7.12465
2016-06-09,7.01,7.28,7.01,7.23,569700,7.15433
2016-06-08,6.90,7.07,6.90,7.01,1748600,6.93664
2016-06-07,6.21207,6.21207,6.21207,6.21207,000,6.14706
2016-06-06,6.21207,6.21207,6.21207,6.21207,000,6.14706
2016-06-03,6.35974,6.40896,6.18253,6.21207,109000,6.14706
2016-06-02,6.29083,6.36958,6.29083,6.34005,38400,6.2737
2016-06-01,6.45819,6.49757,6.13823,6.29083,98100,6.22499
2016-05-31,6.46803,6.53695,6.38927,6.50741,105200,6.43931
2016-05-30,6.49757,6.53695,6.45819,6.46803,102100,6.40034
